ＮＯ．,候補地名称,所在地,想定候補面積（ｍ２）,ヘリ離着陸想定面（ｍ）,ヘリ離着陸想定面現況
1,東京都立木場公園,江東区木場４丁目,15000,１００×８０,多目的広場
2,東京都立駒沢オリンピック公園,世田谷区駒沢公園１丁目,18000,１００×８０,陸上競技場
3,東京都立和田堀公園,杉並区大宮２丁目,16000,１００×８０,陸上競技場
4,東京都立城北中央公園,練馬区氷川台,28000,１００×８０,陸上競技場
5,東京都立舎人公園,足立区舎人公園,18000,１００×８０,陸上競技場
6,東京都立水元公園,葛飾区水元公園４丁目,20000,１００×８０,駐車場
7,東京都立篠崎公園,江戸川区篠崎１丁目,20000,８０×１００,野球場
8,東京都立葛西臨海公園,江戸川区臨海町６丁目,20000,１００×１００,駐車場
9,若洲海浜公園,江東区若洲３丁目,20000,８０×８０,駐車場
10,東京ビッグサイト,江東区有明３丁目,23000,１００×８０,屋外展示場
11,白鬚東地区及び汐入公園,墨田区堤通２丁目荒川区南千住８丁目,15000,８０×８０,空地
12,東京都立代々木公園,渋谷区代々木神園町,26000,１００×１００,陸上競技場
13,東京都立光が丘公園,練馬区光が丘,43000,１００×８０,陸上競技場
14,東京都立大井ふ頭中央海浜公園,品川区八潮４丁目,21000,１００×８０,陸上競技場
15,ガス橋緑地少年野球場,大田区下丸子２丁目地先,67000,８０×１００,野球場
16,東京都立砧公園,世田谷区砧公園,15000,８０×１００,野球場
17,東京都立小金井公園,小金井市関野町２丁目,22000,１００×１００,いこいの広場
18,東京都立神代植物公園,調布市深大寺元町５丁目,24000,１００×１００,芝生広場
19,東京都立武蔵野の森公園,府中市朝日町３丁目,25000,１００×８０,サッカー場
20,東京都立川地域防災センター,立川市緑町３２３３－２,立川防災基地内の都防災機関の施設等の機能を含む。,立川防災基地内の都防災機関の施設等の機能を含む。,立川防災基地内の都防災機関の施設等の機能を含む。
21,東京都立秋留台公園,あきる野市二宮,15000,８０×１００,陸上競技場
22,東京都立東村山中央公園,東村山市富士見町５丁目,25000,１００×１００,広場
23,東京都立東大和南公園,東大和市桜ケ丘２丁目,21000,１００×８０,陸上競技場
24,東京都立府中の森公園,府中市浅間町１丁目,19000,１００×８０,サッカー場
25,東京都立武蔵野中央公園,武蔵野市八幡町２丁目,27000,１００×１００,原っぱ広場
26,八王子市立上柚木公園,八王子市上柚木２丁目,16000,８０×１００,陸上競技場
27,八王子市立滝が原運動場,八王子市高月町２４０１番地先,30000,１００×８０,グラウンド
28,八王子市立藤森公園,八王子市台町２丁目,15000,８０×１００,陸上競技場
29,多摩市立陸上競技場,多摩市諏訪４丁目,15000,８０×１００,陸上競技場
30,町田市立野津田公園,町田市野津田２０３５,15000,１００×１００,陸上競技場
31,日野市多摩川グラウンド,日野市万願寺１丁目地先,20000,８０×１００,河川敷
32,青梅市市民球技場,青梅市河辺町１丁目地先,28000,１００×１００,野球場
