ケース,対象範囲,各地点の最大津波高（ｍ）,各地点の最大津波高／地殻変動を考慮しない場合の値（ｍ）,各地点の最大津波高の平均値（ｍ）,各地点の最大津波高の平均値／地殻変動を考慮しない場合の値（ｍ）,各地点の１ｍ津波高の到達時間（分）,各地点の１ｍ津波高の到達時間／当該範囲で最大津波高が来る地点での時間（分）,各地点の最大津波高の到達時間（分）,各地点の最大津波高の到達時間／当該範囲で最大津波高が来る地点での時間（分）
1,（１）青ヶ島港,４．７５～７．８８,４．７５～７．８８,6.22,6.21,２９．４～２９．６,29.4,３０．４～３９．５,34.8
1,（２）大千代港,７．１３～８．７４,７．１３～８．７４,7.78,7.78,３１．０～３１．２,31.0,３２．１～４１．８,34.6
1,島全体,４．５９～１６．６５,４．５８～１６．６５,8.40,8.40,２９．３～３１．２,30.9,３０．４～４２．９,34.4
2,（１）青ヶ島港,４．２０～５．６４,４．２０～５．６４,4.70,4.70,２９．８～２９．９,29.8,３０．６～３９．０,38.9
2,（２）大千代港,４．８７～５．７７,４．８７～５．７７,5.14,5.14,３１．５～３１．５,31.5,３２．３～３９．９,37.0
2,島全体,３．５４～９．４６,３．５４～９．４６,5.60,5.60,２９．７～３１．５,31.3,３０．６～４６．９,32.0
5,（１）青ヶ島港,３．０３～５．０５,３．０３～５．０５,4.03,4.03,３６．６～３６．８,36.7,５０．１～５９．２,59.0
5,（２）大千代港,３．０４～４．３５,３．０４～４．３５,3.58,3.58,３８．０～３８．０,38.0,５６．３～６３．３,62.9
5,島全体,２．７７～６．６８,２．７７～６．６８,4.14,4.14,３６．５～３８．１,37.5,４９．９～６３．３,58.3
6,（１）青ヶ島港,３．４８～７．３９,３．４８～７．３９,5.80,5.80,２９．５～２９．７,29.5,３３．０～３９．５,34.6
6,（２）大千代港,６．４７～８．１２,６．４７～８．１２,7.08,7.08,３１．０～３１．２,31.1,３４．６～３５．１,34.8
6,島全体,３．４８～１７．６８,３．４８～１７．６８,8.23,8.23,２９．４～３１．２,31.0,３２．１～４１．１,34.6
8,（１）青ヶ島港,３．８５～５．９５,３．８５～５．９５,4.72,4.72,３０．７～３０．９,30.8,３２．０～３７．６,37.4
8,（２）大千代港,３．８６～４．６３,３．８６～４．６３,4.13,4.13,３２．１～３２．３,32.3,３３．０～４４．３,44.2
8,島全体,３．６３～１１．９８,３．６３～１１．９８,5.88,5.88,３０．７～３２．３,31.6,３１．９～４４．６,35.6
