港名称,南海トラフ巨大地震の最大津波高（ｍ）ケース１,南海トラフ巨大地震の最大津波高（ｍ）ケース２,南海トラフ巨大地震の最大津波高（ｍ）ケース５,南海トラフ巨大地震の最大津波高（ｍ）ケース６,南海トラフ巨大地震の最大津波高（ｍ）ケース８,最大津波高到達時間（最短ケース）（分）,最大津波高到達時短最短ケース（ケース）
（１）元町港・元町漁港,10.43,3.95,3.36,10.43,9.71,28.2,１、６
（２）岡田港・岡田漁港,8.28,3.67,3.30,8.23,8.59,29.1,１、６
（３）泉津漁港,3.72,2.12,1.96,3.68,3.72,33.3,１、６
（４）波浮港,6.61,3.35,3.68,6.62,7.21,23.4,１、６
（５）差木地漁港,8.40,3.42,2.65,8.39,9.03,21.5,１、６
（６）野増漁港,13.96,3.65,3.09,13.94,13.42,27.8,１、６
