区分,用途地域面積（Ａ）（ｈａ）,防火地域（Ｂ）（ｈａ）,割合（Ｂ／Ａ）（％）,準防火地域（Ｃ）（ｈａ）,割合（Ｃ／Ａ）（％）
区部,58193.4,13221.1,22.7,44304.5,76.1
多摩,53036.7,1230.0,2.3,25455.3,48.0
大島,102.7,3.8,3.7,98.9,96.3
