震度,地域名
７,宮城県北部
６強,宮城県南部・中部、福島県中通り・浜通り、茨城県北部・南部、栃木県北部・南部
６弱,岩手県沿岸南部・内陸北部・内陸南部、福島県会津、群馬県南部、埼玉県南部、千葉県北西部
