機関名,道路延長（ｋｍ）,道路施設等の状況
都建設局,2230.5,橋梁１２００橋／横断歩道橋６１４橋／人道橋１０５橋
都港湾局,73.9,橋梁１８橋
関東地方整備局,239.1,橋梁２５３橋／横断歩道橋２４４橋
東日本高速道路／中日本高速道路,80.8,東名高速道路、中央自動車道、関越自動車道、第三京浜道路、京葉道路、国道１６号（八王子バイパス）、東京外かん自動車道、圏央道
首都高速道路,191.3,高架構造が全体の約８割
区市町村,21689.2,
計,24504.8,
