ケース,対象範囲,各地点の最大津波高（ｍ）,各地点の最大津波高／地殻変動を考慮しない場合の値（ｍ）,各地点の最大津波高の平均値（ｍ）,各地点の最大津波高の平均値／地殻変動を考慮しない場合の値（ｍ）,各地点の１ｍ津波高の到達時間（分）,各地点の１ｍ津波高の到達時間／当該範囲で最大津波高が来る地点での時間（分）,各地点の最大津波高の到達時間（分）,各地点の最大津波高の到達時間／当該範囲で最大津波高が来る地点での時間（分）
1,（１）神湊・底土海岸周辺,３．３２～１０．９０,３．３１～１０．９０,6.59,6.59,２４．５～２８．４,25.6,２５．５～７３．６,40.0
1,（２）神湊漁港,３．８４～１０．９０,３．８４～１０．９０,6.50,6.49,２５．３～２８．４,25.6,２７．８～４３．１,40.0
1,（３）神湊港,４．５０～１０．０８,４．５０～１０．０８,7.03,7.03,２６．０～２７．２,27.1,２７．６～７３．６,43.1
1,（４）汐間海岸・洞輪沢漁港周辺,４．２１～１２．２２,４．２０～１２．２１,7.66,7.66,２８．８～３２．５,31.6,３２．３～８６．８,41.9
1,（５）洞輪沢漁港,６．８１～９．５６,６．８１～９．５５,8.01,8.00,３１．３～３２．５,32.4,３２．４～７８．９,33.2
1,（６）乙千代ヶ浜・藍ヶ江漁港周辺,６．９６～１１．８６,６．９５～１１．８５,9.73,9.72,２６．０～２７．６,27.0,２６．７～５６．８,27.9
1,（７）中之郷漁港,７．３４～１０．８８,７．３３～１０．８７,9.67,9.67,２７．０～２７．６,27.3,２７．９～２８．８,28.6
1,（８）南原・横間海岸周辺,４．３３～１６．１３,４．３２～１６．１２,10.36,10.35,２２．７～２７．６,25.1,２３．５～３５．５,27.7
1,（９）八重根港・八重根漁港,８．９２～１６．１３,８．９２～１６．１２,12.39,12.38,２５．１～２７．６,25.1,２６．６～３４．６,27.7
1,（１０）ナズマド漁港,４．６６～５．０９,４．６６～５．０８,4.83,4.83,２２．５～２２．７,22.7,２３．４～２３．８,23.5
1,（１１）永郷地域周辺,３．６１～６．９９,３．６０～６．９９,4.55,4.55,２２．５～２４．５,23.7,２３．３～５３．３,29.3
1,（１２）出鼻漁港,４．６７～５．１１,４．６６～５．１１,4.85,4.85,２２．７～２２．９,22.9,２３．５～２８．４,28.4
1,島全体,３．３２～１６．１３,３．３１～１６．１２,7.90,7.89,２２．５～３２．５,25.1,２３．３～８８．９,27.7
2,（１）神湊・底土海岸周辺,２．４４～６．３４,２．４４～６．３４,4.13,4.13,２６．３～３０．１,27.5,３４．１～８９．４,36.1
2,（２）神湊漁港,２．６５～６．３４,２．６５～６．３４,3.83,3.83,２７．２～３０．１,27.5,３５．８～４３．７,36.1
2,（３）神湊港,３．２１～６．３１,３．２１～６．３１,4.55,4.55,２７．７～２９．１,29.0,３６．１～８９．４,38.5
2,（４）汐間海岸・洞輪沢漁港周辺,３．６７～８．７４,３．６７～８．７４,6.12,6.12,３０．４～３４．３,33.5,４３．５～９４．３,44.8
2,（５）洞輪沢漁港,５．１５～８．７４,５．１５～８．７４,6.85,6.85,３２．９～３４．３,33.5,４４．８～４７．０,44.8
2,（６）乙千代ヶ浜・藍ヶ江漁港周辺,３．６０～７．６６,３．６０～７．６６,5.45,5.45,２７．３～２９．１,28.2,２８．１～３９．６,32.4
2,（７）中之郷漁港,４．１５～６．３３,４．１５～６．３３,5.33,5.33,２８．３～２９．１,28.9,２９．２～３０．１,30.0
2,（８）南原・横間海岸周辺,３．４７～１０．６８,３．４７～１０．６８,6.62,6.62,２４．４～２９．４,27.8,２６．９～４３．６,36.8
2,（９）八重根港・八重根漁港,４．８３～８．４４,４．８３～８．４４,6.92,6.92,２６．９～２９．４,27.7,２８．１～４３．６,37.5
2,（１０）ナズマド漁港,２．８９～４．３５,２．８９～４．３５,3.55,3.55,２４．３～２４．４,24.4,２７．６～３３．９,29.5
2,（１１）永郷地域周辺,２．６５～６．１０,２．６５～６．１０,3.67,3.67,２４．２～２６．３,25.2,２４．９～３８．９,32.9
2,（１２）出鼻漁港,３．３５～４．６９,３．３５～４．６９,3.99,3.99,２４．５～２４．７,24.7,２９．６～３６．３,36.1
2,島全体,２．４４～１０．６８,２．４４～１０．６８,5.23,5.23,２４．２～３４．３,27.8,２４．９～１１１．６,36.8
5,（１）神湊・底土海岸周辺,２．１９～５．１６,２．１９～５．１５,3.34,3.34,３２．７～１０１．６,34.4,５４．５～１６０．８,99.4
5,（２）神湊漁港,２．２５～４．８１,２．２４～４．８０,3.01,3.00,３２．７～１０１．６,32.7,８１．２～１６０．８,81.2
5,（３）神湊港,２．４９～５．１６,２．４９～５．１５,3.83,3.82,３４．３～８１．１,34.4,５４．５～１５３．４,99.4
5,（４）汐間海岸・洞輪沢漁港周辺,３．１０～８．６８,３．０９～８．６７,5.51,5.50,３８．６～６５．１,38.6,６７．２～１１４．０,71.5
