番号,危険箇所名,水系名,幹川名,渓流名,所在地市町村名,所在地大字名,所在地字名
1,南浅川,多摩川,案内川,,八王子市,南浅川,
2,栗平,荒川,北小木曽川,,青梅市,成木８丁目,栗平
3,成木７丁目,荒川,成木川,,青梅市,成木７丁目,
4,成木７丁目２,荒川,成木川,,青梅市,成木７丁目,
5,成木４丁目,荒川,成木川,,青梅市,成木４丁目,
6,十里木,多摩川,秋川,,あきる野市,乙津,十里木
7,玉の内,多摩川,平井川,,日の出町,大久野,玉の内
8,湯久保,多摩川,北秋川,湯久保,檜原村,小沢,湯久保
9,数馬上,多摩川,秋川,,檜原村,数馬,数馬上
10,数馬下,多摩川,秋川,,檜原村,数馬,数馬下
11,上元郷,多摩川,秋川,,檜原村,,上元郷
12,笛吹,多摩川,秋川,笛吹沢,檜原村,人里,笛吹
13,子の神沢,多摩川,日原川,子の神沢,奥多摩町,氷川,栃久保
14,登計,多摩川,多摩川,,奥多摩町,氷川,登計
15,峰,多摩川,峰谷川,,奥多摩町,留浦,峰平ほか
16,奥,多摩川,峰谷川,奥沢,奥多摩町,留浦,奥
17,日原,多摩川,日原川,,奥多摩町,日原,日原
18,栃寄,多摩川,,寄沢,奥多摩町,境,栃寄
19,大丹波,多摩川,大丹波川,,奥多摩町,大丹波,
20,川井,多摩川,大丹波川,,奥多摩町,川井,
21,除ヶ野,多摩川,日原川,,奥多摩町,氷川,除ヶ野
22,上坂,多摩川,海沢川,,奥多摩町,海沢,上坂
23,倉沢,多摩川,日原川,倉沢谷,奥多摩町,日原,倉沢
24,平石,多摩川,日原川,,奥多摩町,日原,平石
25,大里沢,,,大里沢,神津島村,,沢尻ほか
26,大六殿・上の川,,,神津沢,神津島村,,上の川
27,里,西川,,,御蔵島村,,打越ほか
28,尾越,,,,八丈町,末吉,尾越
29,永郷,,,,八丈町,三根,永郷
30,永郷２,,,,八丈町,三根,永郷
31,三宝港,,,,青ケ島村,三宝港,
32,長浜,,,,小笠原村,母島,長浜
33,三日月山,,,,小笠原村,父島,三日月山
34,洲崎,,,,小笠原村,父島,洲崎
35,庚申塚,,,,小笠原村,母島,庚申塚
36,長浜２,,,,小笠原村,母島,長浜
37,猪熊谷,,,,小笠原村,母島,猪熊谷
38,庚申塚２,,,,小笠原村,母島,庚申塚
39,小曲,長谷川,,,小笠原村,父島,小曲
40,長谷,長谷川,,,小笠原村,父島,長谷
41,丸山,,,,小笠原村,父島,丸山
42,宮の浜道,大村川,,,小笠原村,父島,宮の浜道
43,宮の浜道２,大村川,,,小笠原村,父島,宮の浜道
