区分,８（％）,９（％）,１３（％）,１４（％）,１８（％）,１９（％）,２３（％）,２４（％）
区部,55.1,,57.9,,60.7,,62.8,
多摩都市部,,44.0,,44.2,,45.5,,46.0
多摩山村部,,18.1,,18.0,,19.9,,18.8
島しょ部,,36.7,,37.4,,37.4,,35.6
