用途区分１,用途区分２,昭和５０（千ｍ３／日）,昭和６０（千ｍ３／日）,平成元（千ｍ３／日）,平成５（千ｍ３／日）,平成１０（千ｍ３／日）,平成１５（千ｍ３／日）,平成２０（千ｍ３／日）,平成２２（千ｍ３／日）,平成２４（千ｍ３／日）
工場,全域,269,137,134,114,110,76,63,56,55
工場,区部,87,29,27,27,25,6,4,4,3
工場,多摩地域,182,109,106,87,85,70,59,53,52
指定作業場,全域,205,156,144,127,125,74,70,66,64
指定作業場,区部,83,73,72,73,69,30,22,20,21
指定作業場,多摩地域,122,82,72,54,56,44,48,45,43
水道用等,全域,543,419,401,415,411,403,379,349,343
水道用等,区部,36,16,14,12,12,8,15,14,14
水道用等,多摩地域,507,403,388,403,399,395,364,335,328
計,全域,1017,712,679,656,646,553,512,471,461
計,区部,206,118,113,112,107,45,41,39,39
計,多摩地域,811,594,566,544,539,509,471,433,423
