区分１,区分２,区分３,指定拠点の種類,箇所,機能
都・区市町村,,,・都庁本庁舎、立川地域防災センター,2,一次
都・区市町村,,,・区市町村本庁舎５３,53,一次
輸送路管理等,道路管理等,,・関東地方整備局、国道事務所２,3,一次
輸送路管理等,道路管理等,,・警視庁（本部庁舎）,1,一次
輸送路管理等,道路管理等,,・都建設事務所１１,11,一次
輸送路管理等,道路管理等,,・東日本高速道路、中日本高速道路２,3,一次
輸送路管理等,道路管理等,,・首都高速道路５,5,一次
輸送路管理等,鉄道管理等,,・鉄道本社１４,14,一次
輸送路管理等,空港管理等,,・東京航空局東京空港事務所、東京空港整備事務所（東京国際空港）,1,一次
輸送路管理等,空港管理等,,・東京都調布飛行場管理事務所（東京都調布飛行場）,1,一次
輸送路管理等,空港管理等,,・東京港管理事務所ヘリポート係（東京ヘリポート）,1,一次
輸送路管理等,港湾管理等,,・東京港管理事務所、東京港建設事務所、高潮対策センター,3,一次
輸送路管理等,港湾管理等,,・関東地方整備局、東京港湾事務所,1,一次
輸送路管理等,河川管理等,,・荒川下流河川事務所,1,一次
輸送路管理等,河川管理等,,・都建設事務所１１、,11,一次
輸送路管理等,河川管理等,,都建設局江東治水事務所（都建設事務所に含む）,1,一次
輸送路管理等,河川管理等,,水門管理センター,1,一次
放送,,,・放送局１５,15,二次
主要初動対応,防災拠点,,・基幹的広域防災拠点２,2,一次
主要初動対応,自衛隊,,・陸上自衛隊駐屯地９,9,二次
主要初動対応,自衛隊,,・航空自衛隊基地２,2,二次
主要初動対応,警察,,・警視庁（本部庁舎）、多摩総合庁舎、新橋庁舎,3,二次
主要初動対応,警察,,・機動隊９、特科車両隊、自動車警ら隊７、交通機動隊１３,30,二次
主要初動対応,警察,,・方面本部１０,10,二次
主要初動対応,警察,,・警察署９７,97,二次
主要初動対応,消防,,・東京消防庁（本庁舎）、東京消防庁多摩防災基地（第八消防方面本部、立川消防署等）,2,二次
主要初動対応,消防,,・消防方面本部・訓練場２０,20,二次
