区市町村,夜間人口（人）,昼間人口（人）,面積（ｋｍ２）,震度別面積率（％）５弱以下,震度別面積率（％）５強,震度別面積率（％）６弱,震度別面積率（％）６強,震度別面積率（％）７,建物棟数木造,建物棟数非木造,原因別建物全壊棟数計,原因別建物全壊棟数ゆれ,原因別建物全壊棟数液状化,原因別建物全壊棟数急傾斜地崩壊,ゆれ建物全壊棟数木造,ゆれ建物全壊棟数非木造,ゆれ建物全壊率（％）木造,ゆれ建物全壊率（％）非木造,急傾斜地崩壊危険箇所,火災出火件数,火災焼失棟数倒壊建物を含む,火災焼失棟数倒壊建物を含まない,人的被害死者計（人）,人的被害死者ゆれ・液状化建物被害（人）,人的被害死者急傾斜地崩壊（人）,人的被害死者火災（人）,人的被害死者ブロック塀等（人）,人的被害死者屋外落下物（人）,人的被害死者屋内収容物（参考値）（人）,人的被害負傷者計（人）,人的被害負傷者ゆれ・液状化建物被害（人）,人的被害負傷者急傾斜地崩壊（人）,人的被害負傷者火災（人）,人的被害負傷者ブロック塀等（人）,人的被害負傷者屋外落下物（人）,人的被害負傷者屋内収容物（参考値）（人）,人的被害負傷者うち重傷者計（人）,人的被害負傷者うち重傷者ゆれ・液状化建物被害（人）,人的被害負傷者うち重傷者急傾斜地崩壊（人）,人的被害負傷者うち重傷者火災（人）,人的被害負傷者うち重傷者ブロック塀等（人）,人的被害負傷者うち重傷者屋外落下物（人）,人的被害負傷者うち重傷者屋内収容物（参考値）（人）,避難者発生数（人）,帰宅困難者滞留者数（人）,帰宅困難者帰宅困難者数（人）,閉じ込めにつながり得るエレベーター停止台数,災害時要援護者死者数（人）,自力脱出困難者発生数（人）,震災廃棄物（万ｔ）,区市町村２
千代田区,47115,853382,11.6,0.0,0.0,75.7,24.3,0.0,3629,15380,231,222,4,5,117,105,3.2,0.7,17,2,0,0,9,8,0,0,0,0,0,415,411,0,0,1,3,19,34,33,0,0,0,0,4,7445,-,-,351,4,86,25,千
中央区,122762,647733,10.2,0.0,0.0,74.0,26.0,0.0,6210,12760,662,649,13,0,496,153,8.0,1.2,0,3,1,1,35,34,0,0,0,0,1,1515,1504,0,1,6,5,38,153,150,0,0,2,0,8,35058,-,-,350,15,556,44,中
港区,205131,908940,20.3,0.0,0.0,62.4,37.6,0.0,13050,21979,1097,1005,7,85,722,282,5.5,1.3,118,6,4,4,55,51,3,0,1,0,3,2218,2175,4,2,34,4,68,232,216,2,1,13,0,15,39045,-,-,545,25,714,71,港
新宿区,326309,770094,18.2,0.0,0.0,96.0,4.0,0.0,36731,29507,1290,1225,3,63,1019,205,2.8,0.7,46,3,31,30,75,70,4,0,1,0,4,2570,2533,5,2,29,2,95,205,190,2,1,11,0,21,40764,-,-,300,38,616,66,新
文京区,206626,336229,11.3,0.0,0.0,99.5,0.5,0.0,27454,19692,649,603,4,42,521,81,1.9,0.4,48,1,23,23,42,36,3,0,2,0,3,1534,1442,4,1,83,4,63,118,83,2,0,32,0,14,25481,-,-,134,19,273,37,文
台東区,175928,303522,10.1,0.0,0.0,75.1,24.9,0.0,22814,22088,2300,2274,20,6,2040,234,8.9,1.1,4,4,34,32,143,140,0,1,2,0,2,2514,2445,0,3,56,9,53,276,251,0,1,22,1,12,47127,-,-,261,78,933,84,台
墨田区,247606,262514,13.8,0.0,0.0,67.1,32.9,0.0,34427,23443,2761,2715,46,0,2443,272,7.1,1.2,0,5,207,197,172,167,0,5,0,0,3,3792,3768,0,9,13,2,75,365,357,0,3,5,0,17,80282,-,-,166,80,1252,108,墨
江東区,460819,490708,39.5,0.0,0.0,59.7,40.3,0.0,27895,24091,2702,2639,64,0,2300,339,8.2,1.4,0,7,115,109,163,159,0,3,2,0,13,5822,5742,0,8,64,7,279,606,578,0,2,25,1,62,153564,-,-,257,80,2360,134,江
品川区,365302,505034,22.7,0.0,0.0,75.7,24.3,0.0,51286,25015,1836,1782,8,45,1606,177,3.1,0.7,43,4,380,371,121,110,3,7,1,0,5,3471,3436,4,11,19,1,113,278,265,2,3,7,0,25,61282,-,-,181,57,917,73,品
目黒区,268330,271320,14.7,0.0,0.0,97.9,2.1,0.0,40796,23689,919,894,5,19,777,117,1.9,0.5,20,2,253,249,64,53,2,6,3,0,4,1754,1654,2,8,88,2,84,152,115,1,2,34,0,19,39369,-,-,85,26,399,46,目
大田区,693373,657209,59.5,0.0,0.0,84.8,15.2,0.0,99142,45038,3063,2882,134,47,2585,298,2.6,0.7,70,5,635,622,199,177,4,16,2,0,10,5145,5050,5,23,64,3,220,416,382,3,6,25,0,49,162156,-,-,193,92,1477,179,大
世田谷区,877138,736040,58.1,0.0,0.0,78.4,21.6,0.0,129338,56307,3573,3524,6,44,3107,417,2.4,0.7,57,8,936,918,265,214,4,25,21,0,13,6486,5653,5,61,736,31,270,763,453,3,17,287,3,60,135490,-,-,185,117,1711,144,世
渋谷区,204492,542803,15.1,0.0,0.0,93.3,6.7,0.0,19674,19101,828,815,2,10,652,163,3.3,0.9,12,2,40,39,49,45,1,1,2,0,3,1742,1649,1,2,85,6,66,154,120,0,0,33,1,15,29781,-,-,250,21,492,47,渋
中野区,314750,285636,15.6,0.0,0.0,99.6,0.4,0.0,51464,20821,1080,1068,2,10,971,98,1.9,0.5,14,2,209,206,74,66,1,6,1,0,5,2235,2187,1,8,37,1,99,154,137,1,2,14,0,22,40332,-,-,70,30,494,47,中
杉並区,549569,439379,34.0,0.0,0.0,98.2,1.8,0.0,92388,30825,2036,2033,2,1,1849,184,2.0,0.6,2,3,1343,1321,169,127,0,36,6,0,8,3861,3539,0,107,208,7,172,352,240,0,30,81,1,38,93396,-,-,101,74,947,83,杉
豊島区,284678,378475,13.0,0.0,0.0,97.5,2.5,0.0,37098,19923,1214,1209,3,3,1091,118,2.9,0.6,12,2,273,267,83,75,0,5,3,0,4,2419,2305,0,7,100,6,80,200,158,0,2,39,1,18,41387,-,-,162,42,591,51,豊
北区,335544,307317,20.6,0.0,0.0,89.4,10.6,0.0,50151,22372,1786,1657,25,104,1528,128,3.0,0.6,58,3,114,111,118,104,9,3,1,0,5,3172,3115,12,6,36,2,104,251,229,6,2,14,0,23,57300,-,-,87,66,827,76,北
荒川区,203296,184021,10.2,0.0,0.0,38.4,61.6,0.0,26888,11633,2746,2717,26,4,2551,166,9.5,1.4,5,5,201,187,180,174,0,5,1,0,3,3311,3261,0,10,34,4,58,344,327,0,3,13,0,13,64276,-,-,83,99,1424,80,荒
板橋区,535824,456425,32.2,0.0,0.0,99.8,0.2,0.0,65083,29528,1278,1223,11,44,1092,131,1.7,0.4,54,3,245,242,90,75,4,6,4,0,8,3532,3370,5,10,141,5,169,248,187,3,3,55,1,38,67545,-,-,113,44,731,69,板
練馬区,716124,530628,48.2,0.0,0.0,98.3,1.7,0.0,114320,32078,2611,2601,7,3,2393,208,2.1,0.6,12,4,1139,1119,212,164,0,32,16,0,11,5389,4715,0,86,568,20,223,585,337,0,24,222,2,49,109831,-,-,98,96,1331,97,練
足立区,683426,539309,53.2,0.0,0.0,90.7,9.3,0.0,104482,38845,4397,4274,124,0,3952,321,3.8,0.8,0,8,1044,1013,300,270,0,28,2,0,10,7195,7037,0,75,78,5,203,618,566,0,21,31,1,45,183139,-,-,111,161,2117,194,足
