名称,延長（ｍ）
中央防波堤,3690.0
東防波堤,615.0
西防波堤,284.5
１２号地貯木場南側波除堤,1340.0
１２号地貯木場東側波除堤,431.4
１２号地貯木場西側波除堤,844.0
１２号地木材投下泊地防波堤,430.0
城南島小型油槽船だまり波除堤,100.0
芝浦小型船だまり波除堤,171.2
１３号地小型船だまり波除堤,298.9
１３号地小型船だまり防波堤,176.0
計,8381.0
