事業内容,全体計画（昭和３８～）,平成２４末,平成２５以降
防潮堤（ｋｍ）,106.3,102.4,3.9
水門（基）,16,15,1
護岸（ｋｍ）,61.7,53.8,7.9
排水機場（箇所）,4,4,-
