路線名,呼称,区間,延長（ｋｍ）,一般街路との連絡施設名入口１,一般街路との連絡施設名入口２,一般街路との連絡施設名出口１,一般街路との連絡施設名出口２
高速都心環状線,Ｃ１,江戸橋ＪＣＴ～江戸橋ＪＣＴ（環状線部分）,14.8,〔内回り〕,江戸橋、神田橋、代官町、霞が関、飯倉、芝公園、銀座、宝町,〔内回り〕,呉服橋、神田橋、北の丸、霞が関、芝公園、汐留、銀座、新富町京橋
高速都心環状線,Ｃ１,江戸橋ＪＣＴ～江戸橋ＪＣＴ（環状線部分）,※,〔外回り〕,京橋、銀座、汐留、芝公園、霞が関、神田橋、呉服橋,〔外回り〕,宝町、新富町、銀座、芝公園、飯倉、霞が関、代官町、神田橋、江戸橋
高速中央環状線,Ｃ２,大橋ＪＣＴ～葛西ＪＣＴ,37.5,〔内回り〕,西池袋、初台南、清新町、平井大橋、四つ木、千住新橋、扇大橋、滝野川,〔内回り〕,西池袋、中野長者橋、富ヶ谷、船堀橋、四つ木、小菅、千住新橋、扇大橋、王子北
高速中央環状線,Ｃ２,大橋ＪＣＴ～葛西ＪＣＴ,※,〔外回り〕,高松、中野長者橋、富ヶ谷、王子北、扇大橋、千住新橋、小菅、四つ木、船堀橋,〔外回り〕,西池袋、初台南、新板橋、扇大橋、千住新橋、四つ木、平井大橋、清新町
高速１号上野線,１,江戸橋ＪＣＴ～入谷出入口,4.4,〔上り〕,入谷、上野、本町,〔上り〕,本町
高速１号上野線,１,江戸橋ＪＣＴ～入谷出入口,※,〔下り〕,本町,〔下り〕,本町、上野、入谷
高速１号羽田線,１,浜崎橋ＪＣＴ～羽田,13.8,〔上り〕,羽田、空港西、平和島、鈴ケ森、芝浦,〔上り〕,平和島、勝島、芝浦、羽田
高速１号羽田線,１,浜崎橋ＪＣＴ～羽田,※,〔下り〕,芝浦、勝島、平和島、羽田,〔下り〕,芝浦、鈴ケ森、平和島、空港西、羽田
高速２号目黒線,２,一ノ橋ＪＣＴ～戸越出入口,5.9,〔上り〕,戸越、荏原、目黒、天現寺,〔下り〕,天現寺、目黒、荏原、戸越
高速３号渋谷線,３,谷町ＪＣＴ～用賀,11.9,〔上り〕,用賀、三軒茶屋、渋谷、高樹町,〔上り〕,池尻、渋谷
高速３号渋谷線,３,谷町ＪＣＴ～用賀,※,〔下り〕,池尻,〔下り〕,高樹町、渋谷、三軒茶屋、用賀
高速４号新宿線,４,三宅坂ＪＣＴ～高井戸,13.5,〔上り〕,高井戸、永福、幡ケ谷、新宿代々木、外苑,〔上り〕,永福、初台、新宿、外苑
高速４号新宿線,４,三宅坂ＪＣＴ～高井戸,※,〔下り〕,外苑、初台、永福,〔下り〕,外苑、代々木、新宿、幡ケ谷、永福、高井戸
高速５号池袋線,５,竹橋ＪＣＴ～都県境,18.5,〔上り〕,高島平、中台、板橋本町、北池袋、東池袋、護国寺、西神田,〔上り〕,板橋本町、東池袋、飯田橋、一ツ橋
高速５号池袋線,５,竹橋ＪＣＴ～都県境,※,〔下り〕,一ツ橋、飯田橋、東池袋、板橋本町,〔下り〕,西神田、早稲田、護国寺、東池袋、北池袋、板橋本町、中台、高島平
高速６号向島線,６,江戸橋ＪＣＴ～堀切ＪＣＴ,10.5,〔上り〕,堤通、向島、駒形、箱崎（浜町）,〔上り〕,堤通、向島、箱崎（浜町、清洲橋）
高速６号向島線,６,江戸橋ＪＣＴ～堀切ＪＣＴ,※,〔下り〕,箱崎（浜町）、向島、堤通,〔下り〕,箱崎（浜町、清洲橋）、駒形、向島、堤通
高速６号三郷線,６,小菅ＪＣＴ～都県境,4.9,〔上り〕,加平,〔上り〕,加平
高速６号三郷線,６,小菅ＪＣＴ～都県境,※,〔下り〕,加平,〔下り〕,加平
高速７号小松川線,７,両国ＪＣＴ～谷河内,10.4,〔上り〕,一之江、小松川、錦糸町,〔上り〕,錦糸町
高速７号小松川線,７,両国ＪＣＴ～谷河内,※,〔下り〕,錦糸町,〔下り〕,錦糸町、小松川、一之江
高速９号深川線,９,箱崎ＪＣＴ～辰巳ＪＣＴ,5.3,〔上り〕,木場,〔上り〕,枝川、福住
高速９号深川線,９,箱崎ＪＣＴ～辰巳ＪＣＴ,※,〔下り〕,福住、塩浜,〔下り〕,木場
高速１０号晴海線,１０,東雲ＪＣＴ～豊洲,1.5,〔下り〕,豊洲,〔上り〕,豊洲
高速１１号台場線,１１,芝浦ＪＣＴ～有明ＪＣＴ,5.0,〔上り〕,台場,〔下り〕,台場
高速川口線,ｓ１,江北ＪＣＴ～都県境,5.6,〔上り〕,加賀、鹿浜橋,〔上り〕,足立入谷、東領家
高速川口線,ｓ１,江北ＪＣＴ～都県境,※,〔下り〕,鹿浜橋、足立入谷,〔下り〕,鹿浜橋、加賀
高速湾岸線,Ｂ,東京都千葉県管理境～多摩川トンネル東京側坑口,21.8,〔東行き〕,空港中央、大井南、大井、有明、新木場、葛西,〔東行き〕,湾岸環八、空港中央、大井南、臨海副都心、新木場、葛西
高速湾岸線,Ｂ,東京都千葉県管理境～多摩川トンネル東京側坑口,※,〔西行き〕,葛西、新木場、臨海副都心、大井南、空港中央、湾岸環八,〔西行き〕,葛西、新木場、有明、大井、大井南、空港中央
高速湾岸線,Ｂ,多摩川トンネル東京側坑口～東京都神奈川県管理境,1.3,なし,,なし,
高速湾岸分岐線,,昭和島ＪＣＴ～東海ＪＣＴ,1.9,なし,,なし,
高速八重洲線,Ｙ,神田橋ＪＣＴ～汐留ＪＣＴ（東京高速道路（株）線を除く）,1.9,なし,,〔南行き〕,丸の内
高速神奈川１号横羽線,ｋ１,羽田～都県境,0.9,なし,,なし,
計,,,191.3,,,,
