洪水予報発表単位,基準地点,所在地,水防団待機水位（指定水位）（ｍ）,はん濫注意水位（警戒水位）（ｍ）,避難判断水位（特別警戒水位）（ｍ）,はん濫危険水位（ｍ）
神田川,番屋橋,杉並区和泉,-,-,34.10,34.93
神田川,和田見橋,中野区弥生町,-,-,29.72,30.59
神田川,南小滝橋,新宿区北新宿,-,-,17.96,20.10
神田川,飯田橋,文京区後楽,-,-,3.67,5.27
目黒川,青葉台,目黒区青葉台,-,-,10.05,11.94
目黒川,荏原調節池上,品川区西五反田,-,-,4.47,5.42
渋谷川・古川,渋谷橋,渋谷区恵比寿,-,-,9.19,11.08
渋谷川・古川,四ノ橋,港区南麻布,-,-,4.88,6.67
野川・仙川,大沢池上,三鷹市大沢,-,-,39.89,40.45
野川・仙川,鎌田橋野川,世田谷区鎌田,-,-,14.54,16.21
野川・仙川,鎌田橋仙川,世田谷区鎌田,-,-,16.15,17.24
芝川・新芝川,青木水門,埼玉県川口市辻,3.15,3.75,4.60,6.10
