港名称,南海トラフ巨大地震の最大津波高（ｍ）ケース１,南海トラフ巨大地震の最大津波高（ｍ）ケース２,南海トラフ巨大地震の最大津波高（ｍ）ケース５,南海トラフ巨大地震の最大津波高（ｍ）ケース６,南海トラフ巨大地震の最大津波高（ｍ）ケース８,最大津波高到達時間（最短ケース）（分）,最大津波高到達時短最短ケース（ケース）
（１）式根島港,10.05,3.91,3.40,10.06,9.57,15.2,１、６
（２）野伏漁港,22.16,4.76,4.71,22.17,22.12,14.5,6
（３）小浜漁港,22.44,4.44,4.06,22.44,22.45,15.4,１、６
