河川名,区間１,区間２,基準地点
利根川上流部,利根川左岸,群馬県伊勢崎市柴町字小泉１５５５番地先から茨城県猿島郡境町字北野１９２０番地先まで,八斗島／栗橋
利根川上流部,利根川右岸,群馬県佐波郡玉村町大字小泉字飯玉前７０番６地先から江戸川分派点まで,八斗島／栗橋
利根川上流部,広瀬川左岸,群馬県伊勢崎市境中島字向川原１０番１地先から利根川への合流点まで,八斗島／栗橋
利根川上流部,広瀬川右岸,群馬県伊勢崎市境中島字石島１０８２番１地先から利根川への合流点まで,八斗島／栗橋
利根川上流部,小山川左岸,埼玉県深谷市高島字前久保５０番３地先新明橋下流端から利根川への合流点まで,八斗島／栗橋
利根川上流部,小山川右岸,埼玉県深谷市石塚字住殿６２１番２地先新明橋下流端から利根川への合流点まで,八斗島／栗橋
利根川上流部,早川左岸,群馬県太田市武蔵島町５５４番１地先から利根川への合流点まで,八斗島／栗橋
利根川上流部,早川右岸,群馬県太田市前島町１７２番５地先から利根川への合流点まで,八斗島／栗橋
江戸川（旧川を除く）,幹川分派点から海まで,,西関宿／野田
中川,左岸,埼玉県北葛飾郡松伏町大字下赤岩字内膳堀内下１６４７－１地先から東京都葛飾区高砂２丁目５５－３地先まで,吉川
中川,右岸,埼玉県北葛飾郡松伏町大字下赤岩字大落向９３７－１地先から東京都葛飾区青戸２丁目６２３－１地先まで,吉川
綾瀬川（谷古字区間）,左岸,埼玉県深谷市荒川字下川原５番の２地先から東京都足立区神明１丁目３０－１地先まで,谷古宇
綾瀬川（谷古字区間）,右岸,埼玉県草加市金明町字中取出し１３６２－７地先から東京都足立区南花畑３丁目２３－１地先まで,谷古宇
荒川（旧川を除く）,左岸,埼玉県深谷市荒川字下川原５番の２地先から海まで,熊谷／治水橋／岩淵水門（上）
荒川（旧川を除く）,右岸,埼玉県大里郡寄居町大字赤浜字後古沢２１８番の１８地先から海まで,熊谷／治水橋／岩淵水門（上）
多摩川,左岸,東京都青梅市青大柳町１５７５地先から海まで,調布橋／石原／田園調布（上）
多摩川,右岸,東京都青梅市畑中１丁目１８番地から海まで,調布橋／石原／田園調布（上）
浅川,左岸,東京都八王子市中野上町４丁目３８９５番地先から多摩川合流地点まで,浅川橋
浅川,右岸,東京都八王子市元本郷４丁目４８３番地先から多摩川合流点まで,浅川橋
