区市町村,夜間人口（人）,昼間人口（人）,面積（ｋｍ２）,震度別面積率（％）５弱以下,震度別面積率（％）５強,震度別面積率（％）６弱,震度別面積率（％）６強,震度別面積率（％）７,建物棟数木造,建物棟数非木造,原因別建物全壊棟数計,原因別建物全壊棟数ゆれ,原因別建物全壊棟数液状化,原因別建物全壊棟数急傾斜地崩壊,ゆれ建物全壊棟数木造,ゆれ建物全壊棟数非木造,ゆれ建物全壊率（％）木造,ゆれ建物全壊率（％）非木造,急傾斜地崩壊危険箇所,火災出火件数,火災焼失棟数倒壊建物を含む,火災焼失棟数倒壊建物を含まない,人的被害死者計（人）,人的被害死者ゆれ・液状化建物被害（人）,人的被害死者急傾斜地崩壊（人）,人的被害死者火災（人）,人的被害死者ブロック塀等（人）,人的被害死者屋外落下物（人）,人的被害死者屋内収容物（参考値）（人）,人的被害負傷者計（人）,人的被害負傷者ゆれ・液状化建物被害（人）,人的被害負傷者急傾斜地崩壊（人）,人的被害負傷者火災（人）,人的被害負傷者ブロック塀等（人）,人的被害負傷者屋外落下物（人）,人的被害負傷者屋内収容物（参考値）（人）,人的被害負傷者うち重傷者計（人）,人的被害負傷者うち重傷者ゆれ・液状化建物被害（人）,人的被害負傷者うち重傷者急傾斜地崩壊（人）,人的被害負傷者うち重傷者火災（人）,人的被害負傷者うち重傷者ブロック塀等（人）,人的被害負傷者うち重傷者屋外落下物（人）,人的被害負傷者うち重傷者屋内収容物（参考値）（人）,避難者発生数（人）,帰宅困難者滞留者数（人）,帰宅困難者帰宅困難者数（人）,閉じ込めにつながり得るエレベーター停止台数,災害時要援護者死者数（人）,自力脱出困難者発生数（人）,震災廃棄物（万ｔ）,区市町村２
千代田区,47115,853382,11.6,0.0,0.0,3.2,96.8,0.0,3629,15380,835,824,4,7,461,362,12.7,2.4,17,14,2,2,336,333,1,1,0,0,16,12858,12822,2,24,2,9,657,1679,1670,1,7,1,1,143,11076,1080758,501355,645,7,4417,60,千
中央区,122762,647733,10.2,0.0,0.0,7.1,92.9,0.0,6210,12760,1942,1926,15,0,1444,482,23.3,3.8,0,20,61,55,162,157,0,4,0,0,10,8533,8479,0,33,8,13,424,1180,1166,0,9,3,1,92,44570,687953,309315,585,12,4444,88,中
港区,205131,908940,20.3,0.0,0.0,6.9,93.1,0.1,13050,21979,2150,2035,8,106,1472,564,11.3,2.6,118,23,77,72,210,189,15,5,1,0,20,10391,10285,18,38,42,8,613,1309,1272,9,11,16,1,134,50306,1052177,468794,742,19,4357,111,港
新宿区,326309,770094,18.2,0.0,0.0,19.5,80.5,0.0,36731,29507,3683,3600,5,78,2986,614,8.1,2.1,46,23,775,733,257,221,8,27,1,0,15,7163,7035,10,71,41,5,425,894,852,5,20,16,1,93,70612,754164,313811,474,52,2806,134,新
文京区,206626,336229,11.3,0.0,0.0,11.9,88.1,0.0,27454,19692,3602,3543,5,54,3141,402,11.4,2.0,48,13,507,469,223,197,5,16,4,0,8,4547,4343,7,32,141,24,207,613,543,3,9,55,3,45,54378,336926,131632,256,57,1795,103,文
台東区,175928,303522,10.1,0.0,0.0,2.1,97.9,0.0,22814,22088,6687,6649,31,7,5860,789,25.7,3.6,4,19,1376,1172,485,440,1,41,2,0,8,6009,5758,1,140,85,25,205,970,894,0,39,33,3,45,73795,292785,112757,475,155,3340,181,台
墨田区,247606,262514,13.8,0.0,0.0,0.1,99.9,0.0,34427,23443,9902,9826,76,0,8722,1104,25.3,4.7,0,21,5001,4151,553,439,0,114,1,0,8,6655,6149,0,479,21,6,192,1176,1033,0,134,8,1,42,130874,242306,79083,332,254,3628,257,墨
江東区,460819,490708,39.5,0.0,0.0,0.1,99.3,0.5,27895,24091,8010,7926,84,0,6731,1195,24.1,5.0,0,23,731,619,355,333,0,19,3,0,15,9729,9565,0,48,94,22,356,1524,1471,0,13,37,2,77,214698,509466,178078,431,151,6017,269,江
品川区,365302,505034,22.7,0.0,0.0,3.1,95.9,0.9,51286,25015,5281,5214,9,57,4689,525,9.1,2.1,43,21,3236,3015,325,233,6,86,1,0,12,6009,5623,7,348,28,3,290,811,699,3,97,11,0,63,109115,480501,179084,297,111,2425,148,品
目黒区,268330,271320,14.7,0.0,0.0,12.8,87.2,0.0,40796,23689,2538,2510,6,23,2119,391,5.2,1.6,20,13,2768,2660,157,89,2,61,4,0,6,2433,2056,2,238,131,6,138,358,239,1,67,51,1,30,63417,241932,78206,128,67,824,98,目
大田区,693373,657209,59.5,0.0,0.0,5.5,93.1,1.4,99142,45038,11108,10856,187,65,9656,1199,9.7,2.7,70,36,5450,5040,464,347,4,111,3,0,15,7297,6700,5,479,101,11,340,1067,890,3,134,39,1,74,262747,556136,166426,316,259,3446,380,大
世田谷区,877138,736040,58.1,0.0,0.0,33.2,66.8,0.0,129338,56307,6074,6020,7,48,5247,772,4.1,1.4,57,27,3202,3098,277,186,3,61,26,1,14,5570,4365,4,250,899,52,328,886,458,2,70,351,6,72,159956,601311,168047,229,173,1733,213,世
渋谷区,204492,542803,15.1,0.0,0.0,6.6,93.4,0.0,19674,19101,2592,2574,4,15,2111,463,10.7,2.4,12,18,1321,1233,194,144,2,44,4,0,10,5001,4711,2,146,126,17,295,641,548,1,41,49,2,64,55545,529282,222342,386,33,2297,102,渋
中野区,314750,285636,15.6,0.0,0.0,47.5,52.5,0.0,51464,20821,2241,2215,3,23,1977,238,3.8,1.1,14,11,1408,1365,100,70,2,27,1,0,3,1828,1688,2,87,48,3,66,209,165,1,24,19,0,14,53408,213227,58123,94,57,597,77,中
杉並区,549569,439379,34.0,0.0,0.0,47.3,52.7,0.0,92388,30825,3692,3687,3,2,3300,388,3.6,1.3,2,17,6449,6256,236,112,0,116,8,0,8,3249,2473,0,497,265,13,195,489,245,0,139,104,1,43,108043,358016,92357,134,153,970,131,杉
豊島区,284678,378475,13.0,0.0,0.0,88.4,11.6,0.0,37098,19923,1679,1672,3,4,1506,166,4.1,0.8,12,4,587,569,103,83,0,16,3,0,4,2766,2621,0,23,113,8,111,263,212,0,6,44,1,24,48926,374171,140005,178,35,795,63,豊
北区,335544,307317,20.6,0.0,0.0,74.3,25.7,0.0,50151,22372,2792,2658,29,104,2465,193,4.9,0.9,58,7,300,289,104,90,6,6,1,0,3,2534,2468,8,12,42,4,75,239,215,4,3,17,0,16,71982,247350,69466,98,75,774,100,北
荒川区,203296,184021,10.2,0.0,0.0,7.0,93.0,0.0,26888,11633,7217,7180,32,4,6731,449,25.0,3.9,5,14,699,569,295,279,0,14,1,0,5,3749,3660,0,29,48,11,111,581,553,0,8,19,1,24,95582,144651,39287,130,207,2411,143,荒
板橋区,535824,456425,32.2,0.0,0.1,84.3,15.6,0.0,65083,29528,1656,1601,11,44,1424,176,2.2,0.6,54,7,412,405,65,50,3,8,4,0,5,2374,2201,3,14,148,7,116,206,142,2,4,58,1,25,69971,377648,104123,121,44,556,81,板
練馬区,716124,530628,48.2,0.0,0.0,99.9,0.1,0.0,114320,32078,1946,1935,7,3,1792,143,1.6,0.4,12,6,1509,1489,97,57,0,25,15,0,6,2662,2061,0,81,504,15,126,349,128,0,23,197,2,28,83827,417116,98294,96,77,505,82,練
足立区,683426,539309,53.2,0.0,0.0,9.3,90.7,0.0,104482,38845,10082,9933,149,0,9235,698,8.8,1.8,0,37,5926,5515,427,316,0,107,3,0,12,6850,6268,0,468,104,12,264,887,715,0,131,40,1,58,240055,430379,107115,166,336,2673,312,足
葛飾区,442586,343039,34.8,0.0,0.0,23.8,76.2,0.0,78991,27793,7446,7230,216,0,6649,581,8.4,2.1,0,25,4102,3824,313,236,0,74,2,0,8,4303,3899,0,311,85,9,180,601,481,0,87,33,1,39,178218,292473,70560,105,219,1820,272,葛
江戸川区,678967,534942,49.9,0.0,0.0,23.1,76.8,0.1,87962,33956,8744,8529,215,0,7653,876,8.7,2.6,0,30,6005,5584,350,240,0,106,4,0,11,5844,5242,0,456,133,13,254,842,662,0,127,52,1,55,277703,414385,102564,191,249,2630,320,江
区部計,8945695,11284699,616.7,0.0,0.0,30.0,69.8,0.2,1221273,605864,111898,110145,1109,644,97374,12771,8.0,2.1,592,431,51901,48185,6086,4841,58,1090,93,4,223,128356,120472,73,4305,3210,296,5967,17775,15252,36,1203,1252,31,1300,2528804,10635113,3790824,6610,2803,55261,3724,区
八王子市,580053,549417,186.3,49.9,35.4,14.7,0.0,0.0,118849,35966,174,124,3,47,112,12,0.1,0.0,509,3,129,129,11,5,3,3,0,0,3,311,292,4,5,9,0,47,17,10,2,1,4,0,9,10602,489631,146971,73,5,35,14,八
立川市,179668,193465,24.4,0.0,60.9,39.1,0.0,0.0,35188,11697,23,20,0,3,14,5,0.0,0.0,16,1,29,29,2,1,0,1,0,0,1,103,90,0,2,11,0,17,7,3,0,0,4,0,3,4368,174410,56735,42,1,8,3,立
武蔵野市,138734,154448,10.7,0.0,0.0,93.4,6.6,0.0,21101,8163,414,414,0,0,352,62,1.7,0.8,0,2,273,269,24,16,0,7,1,0,2,763,724,0,9,29,1,45,71,57,0,2,11,0,10,21860,151201,53755,56,9,189,19,武
三鷹市,186083,148458,16.5,0.0,0.0,88.6,11.4,0.0,32764,8103,764,746,2,17,681,64,2.1,0.8,9,2,317,311,32,24,1,6,1,0,2,772,732,1,8,29,1,40,71,56,1,2,11,0,9,28429,131438,36195,38,19,217,28,三
青梅市,139339,127176,103.3,84.3,15.7,0.0,0.0,0.0,37782,7607,2,0,0,2,0,0,0.0,0.0,511,0,14,14,0,0,0,0,0,0,1,2,1,0,0,0,0,4,0,0,0,0,0,0,1,169,112351,30734,2,0,0,0,青
府中市,255506,236133,29.3,0.0,26.6,73.4,0.0,0.0,47162,14711,88,79,3,6,67,13,0.1,0.1,8,2,144,144,7,3,0,3,0,0,3,232,215,0,5,11,0,64,14,8,0,1,4,0,14,16070,212025,66153,50,3,26,9,府
昭島市,112297,100508,17.3,0.0,86.8,13.2,0.0,0.0,20558,5530,5,5,0,0,4,1,0.0,0.0,9,0,16,16,1,0,0,0,0,0,1,23,20,0,1,3,0,9,2,0,0,0,1,0,2,1062,89744,25772,3,0,2,1,昭
調布市,223593,186275,21.5,0.0,0.0,98.2,1.8,0.0,29412,8668,421,405,4,12,366,38,1.2,0.4,17,2,131,130,17,13,1,3,1,0,2,627,603,1,4,19,0,49,46,37,0,1,7,0,11,28215,162590,46407,43,10,158,21,調
町田市,426987,364091,71.6,3.7,10.0,85.9,0.3,0.0,87953,22322,870,789,6,76,730,59,0.8,0.3,198,5,288,286,35,25,4,6,1,0,4,1048,1009,6,10,23,0,94,65,51,3,3,9,0,21,30414,319134,86680,72,21,193,44,町
小金井市,118852,95195,11.3,0.0,0.1,99.9,0.0,0.0,22335,5024,224,223,0,2,209,14,0.9,0.3,4,1,123,122,11,8,0,2,0,0,1,330,315,0,3,11,0,25,21,16,0,1,4,0,5,11744,80649,22652,6,6,63,10,小
小平市,187035,160499,20.5,0.0,3.8,96.2,0.0,0.0,42481,9322,99,99,0,0,87,11,0.2,0.1,0,2,155,155,7,3,0,3,1,0,2,226,204,0,5,17,0,42,16,7,0,1,7,0,9,8760,137813,38306,10,4,26,8,小
日野市,180052,154114,27.5,0.0,50.7,49.3,0.0,0.0,33122,9441,107,54,2,51,47,7,0.1,0.1,72,1,16,16,6,2,3,0,0,0,1,151,132,4,1,15,0,13,12,4,2,0,6,0,2,6644,135905,38531,22,3,17,9,日
東村山市,153557,115046,17.2,0.0,9.9,90.1,0.0,0.0,31779,6245,66,60,1,5,53,7,0.2,0.1,8,2,91,91,5,2,0,2,1,0,1,158,124,0,3,30,0,30,17,4,0,1,12,0,7,8812,99112,23310,6,4,16,5,東
国分寺市,120650,95649,11.5,0.0,5.9,94.1,0.0,0.0,20001,4889,87,59,0,28,51,7,0.3,0.2,15,1,84,84,7,2,2,2,2,0,1,172,105,2,2,62,0,26,30,4,1,1,24,0,6,7692,86028,23791,21,4,19,6,国
国立市,75510,71295,8.2,0.0,22.8,77.2,0.0,0.0,8768,2557,17,15,0,1,13,3,0.1,0.1,2,0,36,36,1,1,0,1,0,0,1,56,51,0,1,4,0,19,3,2,0,0,1,0,4,3569,61502,18218,2,1,9,2,国
福生市,59796,52442,10.2,0.0,99.4,0.6,0.0,0.0,11631,3475,2,0,0,2,0,0,0.0,0.0,9,0,13,13,0,0,0,0,0,0,0,6,3,0,0,2,0,4,1,0,0,0,1,0,1,622,41779,10596,2,0,0,0,福
狛江市,78751,57386,6.4,0.0,0.0,100.0,0.0,0.0,10391,2668,157,157,0,0,147,10,1.4,0.4,0,1,121,120,7,5,0,2,0,0,1,207,193,0,3,10,0,13,15,10,0,1,4,0,3,9737,43071,8872,3,5,50,7,狛
東大和市,83068,64274,13.5,0.0,81.7,18.3,0.0,0.0,17689,3856,10,9,0,2,8,1,0.0,0.0,8,0,37,37,1,0,0,1,0,0,0,34,26,0,1,6,0,6,3,1,0,0,2,0,1,2632,59513,15194,2,1,2,1,東
清瀬市,74104,60733,10.2,0.0,0.1,99.9,0.0,0.0,13007,3111,39,35,1,2,30,5,0.2,0.2,5,1,23,23,2,1,0,0,0,0,1,85,82,0,1,2,0,16,4,3,0,0,1,0,3,3727,51898,12939,3,1,12,3,清
東久留米市,116546,90315,12.9,0.0,0.0,100.0,0.0,0.0,21922,3959,93,80,0,13,71,8,0.3,0.2,11,1,81,80,5,2,1,1,0,0,1,154,141,1,2,10,0,22,10,6,0,1,4,0,5,6784,72147,16721,4,4,22,6,東
武蔵村山市,70053,59591,15.4,0.0,89.5,10.5,0.0,0.0,16788,3785,3,3,0,0,2,1,0.0,0.0,11,0,18,18,0,0,0,0,0,0,0,13,12,0,1,1,0,5,1,0,0,0,0,0,1,997,51159,13997,2,0,1,1,武
