ＮＯ．,候補地名称,所在地,アクセス道路
1,中央清掃工場,中央区晴海五丁目２番１号,晴海通り
2,港清掃工場,港区港南五丁目７番１号,海岸通り
3,墨田清掃工場,墨田区東墨田一丁目１０番２３号,国道６号線
4,有明清掃工場,江東区有明二丁目３番１０号,湾岸道路
5,新江東清掃工場,江東区夢の島３番地,湾岸道路
6,品川清掃工場,品川区八潮一丁目４番１号,湾岸道路
7,目黒清掃工場,目黒区三田二丁目１９番４３号,山手通り
8,大田清掃工場,大田区京浜島三丁目６番１号,湾岸道路
9,多摩川清掃工場,大田区下丸子二丁目３３番１号,環状８号線
10,世田谷清掃工場,世田谷区大蔵一丁目１番１号,環状８号線
11,千歳清掃工場,世田谷区八幡山二丁目７番１号,環状８号線
12,渋谷清掃工場,渋谷区東一丁目３５番１号,明治通り
13,杉並清掃工場,杉並区高井戸東三丁目７番６号,環状８号線
14,豊島清掃工場,豊島区上池袋二丁目５番１号,川越街道
15,北清掃工場,北区志茂一丁目２番３６号,北本通り
16,板橋清掃工場,板橋区高島平九丁目４８番１号,高島通り
17,練馬清掃工場,練馬区谷原六丁目１０番１１号,目白通り
18,光が丘清掃工場,練馬区光が丘五丁目３番１号,笹目通り
19,足立清掃工場,足立区西保木間四丁目７番１号,尾竹橋通り
20,葛飾清掃工場,葛飾区水元一丁目２０番１号,岩槻街道
21,江戸川清掃工場,江戸川区江戸川二丁目１０番地,篠崎街道
22,北野清掃工場,八王子市北野町５９６番３号,国道２０号線
23,昭島市清掃センター,昭島市田中町四丁目３番１４号,国道１６号線
24,町田リサイクル文化センター,町田市下小山田町３１６０番,町田街道
25,多摩清掃工場,多摩市唐木田二丁目１番地１号,尾根幹線道路
26,柳泉園クリーンポート,東久留米市下里四丁目３番１０号,新所沢街道
