ケース,対象範囲,各地点の最大津波高（ｍ）,各地点の最大津波高／地殻変動を考慮しない場合の値（ｍ）,各地点の最大津波高の平均値（ｍ）,各地点の最大津波高の平均値／地殻変動を考慮しない場合の値（ｍ）,各地点の１ｍ津波高の到達時間（分）,各地点の１ｍ津波高の到達時間／当該範囲で最大津波高が来る地点での時間（分）,各地点の最大津波高の到達時間（分）,各地点の最大津波高の到達時間／当該範囲で最大津波高が来る地点での時間（分）
ケース１,（１）式根島港,５．３５～１０．０５,５．３４～１０．０３,7.76 ,7.74 ,１３．９～１５．３,13.9,１５．０～１６．５,15.2
ケース１,（２）野伏漁港,１０．２３～２２．１６,１０．２１～２２．１４,16.12 ,16.10 ,１２．５～１５．３,13.2,１３．９～２０．９,14.6
ケース１,（３）小浜漁港,６．６７～２２．４４,６．６６～２２．４２,11.92 ,11.90 ,１４．８～１５．９,15.3,１５．０～３１．６,15.4
ケース１,島全体,５．１０～２８．１５,５．０８～２８．１２,13.58 ,13.56 ,１１．９～１６．０,12,１３．５～３１．６,13.7
ケース２,（１）式根島港,２．３９～３．９１,２．３３～３．８５,2.84 ,2.78 ,１９．７～２１．２,20.6,２２．０～１３９．３,42.4
ケース２,（２）野伏漁港,２．６１～４．７６,２．５５～４．７０,3.42 ,3.36 ,１５．９～２０．６,17.8,２０．８～１４４．１,91.5
ケース２,（３）小浜漁港,３．０５～４．４４,２．９９～４．３８,3.56 ,3.49 ,１８．３～２１．４,20.1,２２．８～１４２．６,101.8
ケース２,島全体,２．３１～５．５２,２．２５～５．４６,3.25 ,3.19 ,１５．４～２１．４,17.5,１９．４～１４４．１,109.2
ケース５,（１）式根島港,２．１８～３．４０,２．１５～３．３７,2.64 ,2.61 ,２３．２～５９．０,38.6,６０．１～１５４．７,148.5
ケース５,（２）野伏漁港,２．１５～４．７１,２．１１～４．６８,2.96 ,2.93 ,１８．２～３９．１,20,５７．５～１５７,155.5
ケース５,（３）小浜漁港,２．７８～４．０６,２．７５～４．０３,3.34 ,3.31 ,２２．２～２４．０,22.5,１４０．４～１５４．４,140.6
ケース５,島全体,１．８８～４．７１,１．８５～４．６８,2.69 ,2.65 ,１７．７～５９．０,20,５７．０～１５８,155.5
ケース６,（１）式根島港,５．３６～１０．０６,５．３４～１０．０４,7.77 ,7.75 ,１３．９～１５．３,13.9,１５．０～１６．５,15.2
ケース６,（２）野伏漁港,１０．３０～２２．１７,１０．２８～２２．１５,16.12 ,16.10 ,１２．４～１５．３,13.2,１３．９～２０．９,14.5
ケース６,（３）小浜漁港,６．６３～２２．４４,６．６２～２２．４２,11.91 ,11.89 ,１４．８～１５．９,15.3,１５．０～３１．０,15.4
ケース６,島全体,５．０８～２８．１３,５．０６～２８．１１,13.58 ,13.57 ,１１．９～１６．０,12,１３．５～３１．０,13.7
ケース８,（１）式根島港,５．２１～９．５７,５．１７～９．５２,7.59 ,7.54 ,１４．８～１６．２,14.9,１６．０～１７．５,16.2
ケース８,（２）野伏漁港,９．４８～２２．１２,９．４３～２２．０７,15.73 ,15.68 ,１３．４～１６．０,14.2,１４．９～３２．８,15.5
ケース８,（３）小浜漁港,６．９０～２２．４５,６．８５～２２．４１,11.94 ,11.89 ,１５．８～１６．９,16.3,１６．０～３２．５,16.4
ケース８,島全体,５．２１～２６．７０,５．１７～２６．６６,13.28 ,13.24 ,１２．８～１７．０,13,１４．５～３９．２,14.8
