市町村名,処理区名,処理面積（ｈａ）,処理場面,関係市
八王子,北野,969,北野下水処理場,
立川,立川市単独,1135,錦町下水処理場,国立市（一部流入）
武蔵野,武蔵野第一,727,区部流入,
三鷹,井の頭・烏山,351,区部流入,武蔵野市（一部流入）
三鷹,東部,719,東部水再生センター,武蔵野市（一部流入）
町田,町田,2622,成瀬クリーンセンター,
町田,鶴川,4041,鶴見川クリーンセンター,
町田,横浜、川崎その他,164,横浜市、川崎市等へ流入,
奥多摩,小河内,29,小河内浄化センター,
