地下街名（通称名）,所在地,経営主体,開設日年月日,都計決年月日,階層,延床面積（ｍ２）,用途別延床面積（ｍ２）駐車場,用途別延床面積（ｍ２）地下道,用途別延床面積（ｍ２）店舗,用途別延床面積（ｍ２）その他
池袋東口地下街（Ｉ．Ｓ．Ｐ）,豊島区東池袋１,（株）池袋ショッピングパーク,S39.9.2,S32.12.28,地下３層,15435,6584,2495,4104,2252
八重洲地下街,中央区八重洲２,八重洲地下街（株）,S40.6.1,S31.6.6,地下３層,69203,21287,16581,17790,13545
新宿駅東口地下街（ルミネエスト）,新宿区新宿３,（株）ルミネ,S39.5.20,S35.5.17,地下３層,18358,6854,3355,3636,4513
新宿駅西口地下街（小田急エース）,新宿区西新宿１,（株）小田急ビルサービス,S41.11.25,S35.6.15,地下３層,29650,19967,2636,4032,3016
京王新宿名店街（京王モール）,新宿区西新宿１,京王地下駐車場（株）,S51.3.10,S38.10.30,地下６層,17086,10439,1432,1918,3297
池袋西口地下街（東武ホープセンター）,豊島区西池袋１,池袋西口駐車場（株）,S44.4.2,S40.6.7,地下３層,14709,6418,2795,2683,2813
新橋駅東口地下街（しんちか）,港区新橋２,京急新橋地下駐車場（株）,S47.6.1,S41.8.24,地下４層,11703,5941,2956,2626,180
歌舞伎町地下街（サブナード）,新宿区歌舞伎町１,新宿地下駐車場（株）,S48.9.15,S43.2.23,地下２層,38344,15138,10026,7384,5796
須田町地下鉄ストア,千代田区神田須田町１,東京地下鉄（株）,S7.4.1,,地下１層,83,,,83,
三原橋地下街,中央区銀座４、５,新東京観光（株）,S27.12.1,,地下１層,1429,,390,917,122
浅草地下街,台東区浅草１,浅草地下道（株）,S30.1.28,,地下１層,1347,,520,603,224
渋谷地下街,渋谷区渋谷２,渋谷地下街（株）,S32.12.1,,地下１層,4676,,1447,2967,261
京王吉祥寺駅ビル,武蔵野市吉祥寺南町２,京王電鉄（株）,S42.11.27,,地下１層,3646,1630,0,1366,651
