町村名,島名,原因別建物全壊棟数計,原因別建物全壊棟数揺れ,原因別建物全壊棟数液状化,原因別建物全壊棟数急傾斜地崩壊等,原因別建物全壊棟数津波,原因別建物半壊棟数計,原因別建物半壊棟数揺れ,原因別建物半壊棟数液状化,原因別建物半壊棟数急傾斜地崩壊等,原因別建物半壊棟数津波
大島町,,37,0,0,31,6,141,65,0,41,35
利島村,,26,0,0,24,2,33,1,0,32,0
新島村,新島,737,0,0,22,715,200,5,0,2,175
新島村,式根島,16,0,0,2,14,13,2,0,3,8
神津島村,,224,0,0,42,182,75,8,0,49,18
三宅村,,76,0,0,1,75,35,0,0,1,34
御蔵島村,,0,0,0,0,0,0,0,0,0,0
八丈町,,16,0,0,0,16,0,0,0,0,0
青ケ島村,,0,0,0,0,0,0,0,0,0,0
小笠原村,父島,42,0,0,0,42,104,0,0,0,104
小笠原村,母島,1,0,0,0,1,8,0,0,0,8
島しょ部計,,1175,0,0,122,1053,609,81,0,146,382
