係留施設１,係留施設２,係留施設３,大型船水深計,大型船水深９．０ｍ以上,大型船水深７．５ｍ以上９．０ｍ未満,大型船水深４．５ｍ以上７．５ｍ未満,小型船水深４．５ｍ未満,合計
係船岸,公共,延長（ｍ）,15409,6462,4859,4088,1078,16487
係船岸,公共,ペース数,111,28,32,51,,111
係船岸,専用,延長（ｍ）,6299,4324,1315,660,247,6546
係船岸,専用,ペース数,27,17,12,8,,37
係船岸,計,延長（ｍ）,21708,10786,6174,4748,1325,23033
係船岸,計,ペース数,148,45,44,59,,148
係船浮標,公共,,3,,3,,,3
係船浮標,専用,,,,,,,
係船浮標,計,,3,,3,,,3
