路線名,区間,延長（ｋｍ）,一般街路との連結施設（ランプ）名入口,一般街路との連結施設（ランプ）名出口
高速１号上野線,江戸橋ＪＣＴ～入谷,4.4,【上り】入谷、上野、本町／【下り】本町,【上り】本町／【下り】本町、上野、入谷
高速１号羽田線,浜崎橋ＪＣＴ～羽田,13.8,【上り】羽田、空港西、平和島、鈴ガ森、芝浦／【下り】芝浦、勝島、平和島、羽田,【上り】平和島、勝島、芝浦、羽田／【下り】芝浦、鈴ガ森、平和島、空港西、羽田
高速２号目黒線,一ノ橋ＪＣＴ～戸越,5.9,【上り】戸越、荏原、目黒、天現寺,【下り】天現寺、目黒、荏原、戸越
高速３号渋谷線,谷町ＪＣＴ～用賀,11.9,【上り】用賀、三軒茶屋、渋谷、高樹町／【下り】池尻,【上り】池尻、渋谷／【下り】高樹町、渋谷、三軒茶屋、用賀
高速４号新宿線,三宅坂ＪＣＴ～高井戸,13.5,【上り】高井戸、永福、幡ヶ谷、新宿、代々木、外苑／【下り】外苑、初台、永福,【上り】永福、初台、新宿、外苑／【下り】外苑、代々木、新宿、幡ヶ谷、永福、高井戸
高速５号池袋線,竹橋ＪＣＴ～都県境,18.5,【上り】高島平、中台、板橋本町、北池袋、東池袋、護国寺、西神田／【下り】一ツ橋、飯田橋、東池袋、板橋本町,【上り】板橋本町、東池袋、飯田橋、一ツ橋／【下り】西神田、早稲田、護国時、東池袋、北池袋、板橋本町、中台、高島平
高速６号向島線,江戸橋ＪＣＴ～堀切ＪＣＴ,10.5,【上り】堤通、向島、駒形、箱崎（浜町）／【下り】箱崎（浜町）、向島、堤通,【上り】堤通、向島、駒形、箱崎（浜町、清洲橋）／【下り】箱崎（浜町、清洲橋）、駒形、向島、堤通
高速６号三郷線,小菅ＪＣＴ～都県境,4.9,【上り・下り】加平,【上り・下り】加平
高速７号小松川線,両国ＪＣＴ～谷河内,10.4,【上り】一之江、小松川、錦糸町／【下り】錦糸町,【上り】錦糸町／【下り】錦糸町、小松川、一之江
高速９号深川線,箱崎ＪＣＴ～辰巳ＪＣＴ,5.3,【上り】木場／【下り】福住、塩浜,【上り】枝川、福住／【下り】木場
高速１０号晴海線,東雲ＪＣＴ～豊洲,1.5,【下り】豊洲,【上り】豊洲
高速１１号台場線,芝浦ＪＣＴ～有明ＪＣＴ,5.0,【上り】台場,【下り】台場
高速都心環状線,環状線部分,14.8,【内回り】江戸橋、神田橋、代官町、霞が関、飯倉、芝公園、銀座、宝町／【外回り】京橋、銀座、汐留、芝公園、霞が関、神田橋、呉服橋,【内回り】呉服橋、神田橋、北の丸、霞が関、芝公園、汐留、銀座、新富町、京橋／【外回り】宝町、新富町、銀座、芝公園、飯倉、霞が関、代官町、神田橋、江戸橋
高速中央環状線,板橋ＪＣＴ～葛西ＪＣＴ,37.5,【内回り】平井大橋、四つ木、千住新橋、扇大橋、清新町、滝野川、西池袋、初台南／【外回り】王子北、扇大橋、千住新橋、小菅、四つ木、船堀橋、富ヶ谷、中野長者橋、高松,【内回り】船堀橋、四つ木、小菅、千住新橋、扇大橋、王子北、富ヶ谷、中野長者橋、西池袋／【外回り】新板橋、扇大橋、千住新橋、四つ木、平井大橋、清新町、初台南、西池袋
高速川口線,江北～都県境,5.6,【上り】加賀、鹿浜橋／【下り】鹿浜橋、足立入谷,【上り】足立入谷、東領家／【下り】鹿浜橋、加賀
高速八重洲線,神田橋ＪＣＴ～汐留ＪＣＴ,1.9,-,【南行き】丸の内、
高速湾岸線,東京都千葉県境～東京都神奈川県境,23.1,【東行き】空港中央、大井南、大井、有明、新木場、葛西／【西行き】葛西、新木場、臨海副都心、大井南、空港中央、湾岸環八,【東行き】湾岸環八、空港中央、大井南、臨海副都心、新木場、葛西／【西行き】葛西、新木場、有明、大井、大井南、空港中央
高速湾岸分岐線,昭和島ＪＣＴ～東海ＪＣＴ,1.9,-,-
高速神奈川１号横羽線,羽田～都県境,0.9,-,-
合計,,191.3,（延長は都内距離）,（延長は都内距離）
