河川名,水防警報区１,水防警報区２,基準地点,担当河川事務所
江戸川,右岸　自,葛飾区東金町８丁目４９２７番－１地先,松戸,江戸川
江戸川,右岸　至,海,松戸,江戸川
旧江戸川,左岸　自,江戸川分派点,松戸,江戸川
旧江戸川,左岸　至,江戸川区東篠崎１丁目の標杭,松戸,江戸川
旧江戸川,右岸　自,江戸川分派点,松戸,江戸川
旧江戸川,右岸　至,江戸川区東篠崎１丁目３９－２２地先,松戸,江戸川
中川,左岸　自,大場川合流点,高砂,江戸川
中川,左岸　至,葛飾区高砂２丁目５５－３地先,高砂,江戸川
中川,右岸　自,垳川合流点,高砂,江戸川
中川,右岸　至,葛飾区青戸町２丁目６２３－１地先,高砂,江戸川
綾瀬川,左岸　自,埼玉県越谷市大字蒲生字西浦３７９３－３地先,谷古宇,江戸川
綾瀬川,左岸　至,足立区神明町１丁目３０－１地先,谷古宇,江戸川
綾瀬川,右岸　自,埼玉県草加市金明町字中取出し１３６２－７地先,谷古宇,江戸川
綾瀬川,右岸　至,足立区南花畑３丁目２３－１地先,谷古宇,江戸川
荒川,左岸　自,埼玉県上尾市大字平方字横町４３３番の５,治水橋,荒川上流
荒川,左岸　至,埼玉県戸田市早瀬１丁目４３３５番地先,治水橋,荒川上流
荒川,右岸　自,埼玉県川越市大字中老袋字田島３０１番地の１,治水橋,荒川上流
荒川,右岸　至,板橋区三園２丁目８０番１地先,治水橋,荒川上流
荒川,左岸　自,埼玉県戸田市早瀬１丁目,岩淵水門（上）／南砂町,荒川下流
荒川,左岸　至,海,岩淵水門（上）／南砂町,荒川下流
荒川,右岸　自,板橋区三園２丁目,岩淵水門（上）／南砂町,荒川下流
荒川,右岸　至,海,岩淵水門（上）／南砂町,荒川下流
隅田川,左岸　自,荒川分派点,-,荒川下流
隅田川,左岸　至,北区志茂４丁目地先,-,荒川下流
隅田川,右岸　自,荒川分派点,-,荒川下流
隅田川,右岸　至,北区志茂４丁目地先,-,荒川下流
多摩川,左岸　自,青梅市大柳１５７５番地先,調布橋,京浜
多摩川,左岸　至,福生市福生大字熊川南１３４番地先,調布橋,京浜
多摩川,右岸　自,青梅市畑中１丁目１８番地先,調布橋,京浜
多摩川,右岸　至,あきる野市小川東１丁目１番地先,調布橋,京浜
多摩川,左岸　自,昭島市拝島町３丁目１５４９番地先,日野橋,京浜
多摩川,左岸　至,国立市泉２丁目６番地先,日野橋,京浜
多摩川,右岸　自,八王子市高月町２４０２番地先,日野橋,京浜
多摩川,右岸　至,日野市落川１３９７番地先,日野橋,京浜
多摩川,左岸　自,府中市四谷６丁目５８番地先,石原,京浜
多摩川,左岸　至,狛江市駒井町３丁目４３４番地先,石原,京浜
多摩川,右岸　自,多摩市一ノ宮１丁目４５番地先,石原,京浜
多摩川,右岸　至,神奈川県川崎市多摩区宿河原７丁目２２４６番地先,石原,京浜
多摩川,左岸　自,世田谷区喜多見町２丁目４５４０番地先,田園調布（上）,京浜
多摩川,左岸　至,大田区仲六郷４丁目２９番地先,田園調布（上）,京浜
多摩川,右岸　自,神奈川県川崎市多摩区堰１丁目４２９番地先,田園調布（上）,京浜
多摩川,右岸　至,神奈川県川崎市川崎区本町２丁目１３番地先,田園調布（上）,京浜
多摩川,左岸　自,大田区東六郷３丁目２５番地先,多摩川河口,京浜
多摩川,左岸　至,海,多摩川河口,京浜
多摩川,右岸　自,神奈川県川崎市川崎区旭町１丁目３番地先,多摩川河口,京浜
多摩川,右岸　至,海,多摩川河口,京浜
浅川,左岸　自,八王子市中野上町４丁目３８９５番地先,浅川橋,京浜
浅川,左岸　至,幹川合流点,浅川橋,京浜
浅川,右岸　自,八王子市元本郷４丁目４８３番地先,浅川橋,京浜
浅川,右岸　至,幹川合流点,浅川橋,京浜
大栗川,左岸　自,多摩市関戸３丁目１６番地先,報恩橋,京浜
大栗川,左岸　至,幹川合流点,報恩橋,京浜
大栗川,右岸　自,多摩市関戸５丁目１番地先,報恩橋,京浜
大栗川,右岸　至,幹川合流点,報恩橋,京浜
