名称,年月日,主な被害死者,主な被害死者（全国）,主な被害行方不明,主な被害行方不明（全国）,主な被害負傷者,主な被害負傷者（全国）,主な被害住家損壊,主な被害住家損壊（全国）,主な被害住家浸水（床上）,主な被害住家浸水（床下）,主な被害住家浸水（全国）,摘要
カスリーン台風,昭和22.9.14～15,6,1077,2,853,3,1547,196,9298,78993,24879,384743,房総半島をかすめ、豪雨をもたらした。利根川栗橋付近の決壊等により溢れた水が数日後に都内に達し区部東部地域が水につかった。
キティ台風,昭和24.8.31～9.1,18,135,-,25,104,479,4129,17203,73750,64127,144060,雨量は比較的少い風台風。その上陸が満潮時と一致したため高潮となり、江戸川等の河口地域を中心として浸水被害等を受けた。
狩野川台風,昭和33.9.26～28,36,888,3,381,164,1138,962,16743,142802,337731,521715,秋雨前線を刺激し、伊豆半島、関東地方南部に記録的豪雨。東京では山の手で中小河川の氾濫やがけ崩れ等の被害を受けた。
台風第２６号,平成25.10.15～16,37,40,3,3,25,130,301,1094,159,130,6142,台風により、東日本、北日本の太平洋側を中心に大雨となった。特に大島町では、１時間に１００ミリ以上の猛烈な雨が降り、２４時間雨量が８２４ミリに達するなど、記録的な大雨となった。
