町村名,島名,２月最小,２月平均,２月最大,８月最小,８月平均,８月最大
大島町,大島,560,1110,1920,810,1270,2000
利島村,利島,数人,数人,10,10,20,50
新島村,新島,100,150,190,530,670,900
新島村,式根島,40,50,70,700,900,1110
神津島村,神津島,50,90,190,480,720,1070
三宅村,三宅島,90,110,170,170,280,410
御蔵島村,御蔵島,数人,数人,10,120,170,180
八丈町,八丈島,190,300,570,900,1190,1770
青ヶ島村,青ヶ島,数人,数人,数人,数人,数人,数人
小笠原村,父島,150,180,260,370,450,560
小笠原村,母島,80,100,150,70,90,120
