対象,斜面の危険度ランク（降雨危険度）３＝（Ｃ）,斜面の危険度ランク（降雨危険度）２＝（Ｂ）,斜面の危険度ランク（降雨危険度）１＝（Ａ）,計,備考
急傾斜地崩壊危険箇所,21,155,50,226,施工箇所はＡが２か所、Ｂが６か所
山腹崩壊危険地区,18,21,33,72,概成はＡが４か所、Ｂが３か所
計,39,176,83,298,
