区市町村,夜間人口（人）,昼間人口（人）,面積（ｋｍ２）,震度別面積率（％）５弱以下,震度別面積率（％）５強,震度別面積率（％）６弱,震度別面積率（％）６強,震度別面積率（％）７,建物棟数木造,建物棟数非木造,原因別建物全壊棟数計,原因別建物全壊棟数ゆれ,原因別建物全壊棟数液状化,原因別建物全壊棟数急傾斜地崩壊,ゆれ建物全壊棟数木造,ゆれ建物全壊棟数非木造,ゆれ建物全壊率（％）木造,ゆれ建物全壊率（％）非木造,急傾斜地崩壊危険箇所,火災出火件数,火災焼失棟数倒壊建物を含む,火災焼失棟数倒壊建物を含まない,人的被害死者計（人）,人的被害死者ゆれ・液状化建物被害（人）,人的被害死者急傾斜地崩壊（人）,人的被害死者火災（人）,人的被害死者ブロック塀等（人）,人的被害死者屋外落下物（人）,人的被害死者屋内収容物（参考値）（人）,人的被害負傷者計（人）,人的被害負傷者ゆれ・液状化建物被害（人）,人的被害負傷者急傾斜地崩壊（人）,人的被害負傷者火災（人）,人的被害負傷者ブロック塀等（人）,人的被害負傷者屋外落下物（人）,人的被害負傷者屋内収容物（参考値）（人）,人的被害負傷者うち重傷者計（人）,人的被害負傷者うち重傷者ゆれ・液状化建物被害（人）,人的被害負傷者うち重傷者急傾斜地崩壊（人）,人的被害負傷者うち重傷者火災（人）,人的被害負傷者うち重傷者ブロック塀等（人）,人的被害負傷者うち重傷者屋外落下物（人）,人的被害負傷者うち重傷者屋内収容物（参考値）（人）,避難者発生数（人）,帰宅困難者滞留者数（人）,帰宅困難者帰宅困難者数（人）,閉じ込めにつながり得るエレベーター停止台数,災害時要援護者死者数（人）,自力脱出困難者発生数（人）,震災廃棄物（万ｔ）,区市町村２
千代田区,47115,853382,11.6,0.0,0.0,75.7,24.3,0.0,3629,15380,231,222,4,5,117,105,3.2,0.7,17,4,0,0,87,86,1,0,0,0,7,5575,5564,1,6,1,3,328,458,455,1,2,0,0,71,7446,1080758,501355,351,2,1209,25,千
中央区,122762,647733,10.2,0.0,0.0,74.0,26.0,0.0,6210,12760,662,649,13,0,496,153,8.0,1.2,0,7,1,1,54,53,0,1,0,0,4,4109,4089,0,10,6,5,207,389,383,0,3,2,0,45,35061,687953,309315,350,4,1458,44,中
港区,205131,908940,20.3,0.0,0.0,62.4,37.6,0.0,13050,21979,1097,1005,7,85,722,282,5.5,1.3,118,12,8,7,107,93,12,1,1,0,10,6601,6530,15,18,34,4,317,657,631,7,5,13,0,69,39063,1052177,468794,546,10,2165,71,港
新宿区,326309,770094,18.2,0.0,0.0,96.0,4.0,0.0,36731,29507,1290,1225,3,63,1019,205,2.8,0.7,46,5,48,48,85,75,7,2,1,0,7,3764,3717,8,8,29,2,222,306,288,4,2,11,0,48,40846,754164,313811,300,17,949,66,新
文京区,206626,336229,11.3,0.0,0.0,99.5,0.5,0.0,27454,19692,649,603,4,42,521,81,1.9,0.4,48,2,38,38,41,33,4,1,2,0,4,1684,1587,5,4,83,4,103,133,96,3,1,32,0,22,25543,336926,131632,134,11,318,37,文
台東区,175928,303522,10.1,0.0,0.0,75.1,24.9,0.0,22814,22088,2300,2274,20,6,2040,234,8.9,1.1,4,7,54,52,157,152,1,2,2,0,3,3053,2978,1,9,56,9,85,327,301,0,3,22,1,19,47195,292785,112757,261,50,1124,84,台
墨田区,247606,262514,13.8,0.0,0.0,67.1,32.9,0.0,34427,23443,2761,2715,46,0,2443,272,7.1,1.2,0,8,300,286,130,123,0,7,0,0,3,3025,2996,0,15,13,2,72,292,283,0,4,5,0,16,80602,242306,79083,166,60,993,108,墨
江東区,460819,490708,39.5,0.0,0.0,59.7,40.3,0.0,27895,24091,2702,2639,64,0,2300,339,8.2,1.4,0,12,190,181,120,113,0,5,2,0,11,4869,4781,0,16,64,7,286,506,476,0,5,25,1,62,154100,509466,178078,257,51,1945,134,江
品川区,365302,505034,22.7,0.0,0.0,75.7,24.3,0.0,51286,25015,1836,1782,8,45,1606,177,3.1,0.7,43,6,565,552,100,80,4,15,1,0,6,3066,3017,5,23,19,1,146,255,238,3,6,7,0,32,62087,480501,179084,182,34,826,74,品
目黒区,268330,271320,14.7,0.0,0.0,97.9,2.1,0.0,40796,23689,919,894,5,19,777,117,1.9,0.5,20,3,388,382,45,32,2,9,3,0,3,1264,1160,2,12,88,2,74,121,82,1,3,34,0,16,39878,241932,78206,86,19,285,46,目
大田区,693373,657209,59.5,0.0,0.0,84.8,15.2,0.0,99142,45038,3063,2882,134,47,2585,298,2.6,0.7,70,9,978,958,117,92,3,20,2,0,7,3166,3044,4,52,64,3,169,275,234,2,14,25,0,37,163560,556136,166426,194,66,904,179,大
世田谷区,877138,736040,58.1,0.0,0.0,78.4,21.6,0.0,129338,56307,3573,3524,6,44,3107,417,2.4,0.7,57,13,1503,1474,163,110,3,29,21,0,8,4136,3271,3,96,736,31,180,583,265,2,27,287,3,39,137917,601311,168047,186,105,1002,146,世
渋谷区,204492,542803,15.1,0.0,0.0,93.3,6.7,0.0,19674,19101,828,815,2,10,652,163,3.3,0.9,12,4,60,59,51,45,1,2,2,0,5,2457,2358,1,7,85,6,156,217,180,1,2,33,1,34,29881,529282,222342,250,9,758,48,渋
中野区,314750,285636,15.6,0.0,0.0,99.6,0.4,0.0,51464,20821,1080,1068,2,10,971,98,1.9,0.5,14,3,328,323,42,34,1,6,1,0,3,1271,1222,1,9,37,1,66,96,78,0,3,14,0,14,40815,213227,58123,71,24,282,47,中
杉並区,549569,439379,34.0,0.0,0.0,98.2,1.8,0.0,92388,30825,2036,2033,2,1,1849,184,2.0,0.6,2,5,2061,2027,106,62,0,37,6,0,4,2263,1916,0,132,208,7,108,251,132,0,37,81,1,24,96268,358016,92357,103,70,524,85,杉
豊島区,284678,378475,13.0,0.0,0.0,97.5,2.5,0.0,37098,19923,1214,1209,3,3,1091,118,2.9,0.6,12,3,394,386,74,60,0,11,3,0,4,2290,2168,0,16,100,6,111,197,153,0,4,39,1,24,41952,374171,140005,163,26,573,51,豊
北区,335544,307317,20.6,0.0,0.0,89.4,10.6,0.0,50151,22372,1786,1657,25,104,1528,128,3.0,0.6,58,5,167,163,67,56,6,3,1,0,3,1869,1815,8,7,36,2,75,155,135,4,2,14,0,16,57526,247350,69466,87,48,485,77,北
荒川区,203296,184021,10.2,0.0,0.0,38.4,61.6,0.0,26888,11633,2746,2717,26,4,2551,166,9.5,1.4,5,8,327,304,114,106,0,7,1,0,2,2145,2093,0,13,34,4,43,227,209,0,4,13,0,9,64849,144651,39287,84,80,911,80,荒
板橋区,535824,456425,32.2,0.0,0.0,99.8,0.2,0.0,65083,29528,1278,1223,11,44,1092,131,1.7,0.4,54,5,383,378,52,38,3,7,4,0,5,2045,1883,3,12,141,5,116,169,108,2,3,55,1,25,68279,377648,104123,113,36,423,69,板
練馬区,716124,530628,48.2,0.0,0.0,98.3,1.7,0.0,114320,32078,2611,2601,7,3,2393,208,2.1,0.6,12,7,1609,1580,120,76,0,27,16,0,6,3059,2382,0,89,568,20,126,422,173,0,25,222,2,28,111931,417116,98294,99,94,684,98,練
足立区,683426,539309,53.2,0.0,0.0,90.7,9.3,0.0,104482,38845,4397,4274,124,0,3952,321,3.8,0.8,0,11,1451,1408,164,135,0,26,2,0,6,3987,3817,0,86,78,5,129,364,309,0,24,31,1,28,184769,430379,107115,112,130,1156,195,足
葛飾区,442586,343039,34.8,0.0,0.0,95.1,4.8,0.0,78991,27793,2500,2368,132,0,2185,183,2.8,0.7,0,7,643,629,91,78,0,12,2,0,4,2151,2074,0,18,56,3,89,184,157,0,5,22,0,19,122656,292473,70560,68,64,594,140,葛
江戸川区,678967,534942,49.9,0.0,3.9,73.3,22.8,0.0,87962,33956,2633,2508,125,0,2283,226,2.6,0.7,0,12,840,823,89,71,0,15,2,0,5,2533,2411,0,36,82,4,126,234,192,0,10,32,0,27,175638,414385,102564,126,64,762,142,江
区部計,8945695,11284699,616.7,0.0,0.3,84.5,15.2,0.0,1221273,605864,44194,42887,773,534,38280,4607,3.1,0.8,592,157,12338,12060,2176,1804,47,246,76,2,118,70382,66874,59,694,2618,136,3335,6818,5558,30,195,1021,14,727,1827863,10635113,3790824,4290,1074,20328,2046,区
八王子市,580053,549417,186.3,0.0,39.4,20.3,40.1,0.2,118849,35966,7006,6760,8,238,6072,688,5.1,1.9,509,24,2520,2410,321,250,16,54,1,0,6,4714,4426,19,214,51,4,144,622,532,10,60,20,0,31,114821,489631,146971,188,150,1935,197,八
立川市,179668,193465,24.4,0.0,0.0,0.6,99.4,0.0,35188,11697,1457,1438,0,18,1205,233,3.4,2.0,16,9,750,727,74,55,1,17,1,0,4,1427,1352,2,35,36,2,96,186,161,1,10,14,0,21,33047,174410,56735,87,35,510,52,立
武蔵野市,138734,154448,10.7,0.0,0.0,86.5,13.5,0.0,21101,8163,440,440,0,0,377,62,1.8,0.8,0,2,214,210,23,17,0,5,1,0,2,779,741,0,7,30,1,45,74,60,0,2,12,0,10,30264,151201,53755,56,9,197,19,武
三鷹市,186083,148458,16.5,0.0,0.0,84.8,15.2,0.0,32764,8103,846,826,2,19,751,74,2.3,0.9,9,2,310,304,35,27,1,6,1,0,2,805,763,1,8,31,1,40,78,63,1,2,12,0,9,31003,131438,36195,38,20,242,30,三
青梅市,139339,127176,103.3,42.9,24.7,31.2,1.2,0.0,37782,7607,457,355,0,101,325,31,0.9,0.4,511,2,175,174,25,15,6,4,0,0,2,411,394,8,5,4,0,34,32,24,4,2,2,0,7,8931,112351,30734,8,12,90,21,青
府中市,255506,236133,29.3,0.0,0.0,69.5,30.5,0.0,47162,14711,1052,1032,9,11,909,123,1.9,0.8,8,5,480,472,48,37,1,10,1,0,3,1119,1078,1,16,23,1,64,106,92,0,4,9,0,14,39255,212025,66153,67,25,319,43,府
昭島市,112297,100508,17.3,0.0,0.0,1.1,98.1,0.8,20558,5530,1216,1210,1,5,1065,145,5.2,2.6,9,6,428,408,51,41,0,9,0,0,2,845,816,0,15,14,1,52,111,102,0,4,5,0,11,26081,89744,25772,10,27,402,35,昭
調布市,223593,186275,21.5,0.0,0.0,86.4,13.6,0.0,29412,8668,673,656,4,12,589,68,2.0,0.8,17,3,162,159,26,21,1,3,1,0,2,841,811,1,5,23,1,49,72,61,0,2,9,0,11,32959,162590,46407,46,16,260,28,調
町田市,426987,364091,71.6,0.0,1.1,32.2,66.7,0.0,87953,22322,3931,3797,7,128,3478,319,4.0,1.4,198,16,999,965,146,118,7,20,1,0,7,2575,2464,9,56,43,2,171,286,248,5,16,17,0,37,84304,319134,86680,97,86,948,114,町
小金井市,118852,95195,11.3,0.0,0.0,32.6,67.4,0.0,22335,5024,725,723,0,2,665,57,3.0,1.1,4,4,370,360,35,27,0,7,1,0,2,589,559,0,11,18,1,44,63,53,0,3,7,0,10,24438,80649,22652,7,19,210,22,小
小平市,187035,160499,20.5,0.0,0.0,1.0,99.0,0.0,42481,9322,2083,2083,0,0,1885,198,4.4,2.1,0,10,1213,1165,96,71,0,24,1,0,4,1336,1216,0,71,46,3,79,191,153,0,20,18,0,17,39263,137813,38306,16,55,526,54,小
日野市,180052,154114,27.5,0.0,0.0,4.2,95.3,0.5,33122,9441,2476,2367,5,104,2074,294,6.3,3.1,72,9,335,317,91,77,6,7,1,0,3,1504,1431,8,14,48,3,80,210,183,4,4,19,0,18,39606,135905,38531,46,50,714,72,日
東村山市,153557,115046,17.2,0.0,0.0,4.2,95.8,0.0,31779,6245,1275,1265,2,8,1147,118,3.6,1.9,8,8,542,524,51,38,0,10,2,0,2,877,780,0,16,76,3,56,123,88,0,4,30,0,12,28505,99112,23310,10,38,323,35,東
国分寺市,120650,95649,11.5,0.0,0.0,5.1,94.9,0.0,20001,4889,1110,1074,0,36,976,98,4.9,2.0,15,5,449,430,46,31,2,9,5,0,2,781,600,3,13,158,7,47,135,68,1,4,61,1,10,27114,86028,23791,32,26,319,31,国
国立市,75510,71295,8.2,0.0,0.0,24.3,75.7,0.0,8768,2557,375,370,0,5,325,45,3.7,1.8,2,3,431,417,22,13,0,9,0,0,1,379,357,0,12,9,0,33,43,36,0,3,4,0,7,18903,61502,18218,4,11,184,14,国
福生市,59796,52442,10.2,0.0,0.0,13.1,86.9,0.0,11631,3475,429,418,0,11,369,49,3.2,1.4,9,3,258,251,19,14,1,5,0,0,1,309,292,1,8,8,0,23,35,29,0,2,3,0,5,9242,41779,10596,5,12,115,15,福
狛江市,78751,57386,6.4,0.0,0.0,99.7,0.3,0.0,10391,2668,233,233,0,0,213,20,2.0,0.8,0,1,132,130,9,7,0,2,0,0,1,243,228,0,3,12,0,13,21,16,0,1,5,0,3,11827,43071,8872,3,7,76,9,狛
東大和市,83068,64274,13.5,0.0,0.0,0.2,99.8,0.0,17689,3856,774,760,0,14,688,73,3.9,1.9,8,4,644,622,40,26,1,12,1,0,2,511,472,1,17,21,1,34,67,53,0,5,8,0,7,17514,59513,15194,6,25,210,23,東
清瀬市,74104,60733,10.2,0.0,0.0,90.3,9.7,0.0,13007,3111,303,299,1,2,273,26,2.1,0.8,5,1,40,40,11,10,0,1,0,0,1,308,303,0,2,4,0,16,26,24,0,0,1,0,3,10980,51898,12939,4,9,95,11,清
東久留米市,116546,90315,12.9,0.0,0.0,50.2,49.8,0.0,21922,3959,719,707,0,13,643,64,2.9,1.6,11,3,189,184,25,20,1,3,1,0,2,539,513,1,5,19,1,39,57,48,0,2,7,0,8,20089,72147,16721,5,19,191,22,東
武蔵村山市,70053,59591,15.4,0.0,0.0,40.3,59.7,0.0,16788,3785,438,435,0,2,387,49,2.3,1.3,11,3,397,389,21,13,0,8,0,0,1,292,277,0,11,3,0,27,30,26,0,3,1,0,6,11330,51159,13997,5,14,104,16,武
多摩市,147648,137622,21.1,0.0,0.0,6.2,93.8,0.0,12107,5304,931,845,2,83,731,114,6.0,2.2,43,5,48,45,35,28,6,1,0,0,3,1191,1170,8,5,7,0,72,136,128,4,2,3,0,16,29932,129381,39123,9,16,541,33,多
稲城市,84835,58913,18.0,0.0,0.0,16.6,83.4,0.0,11702,3370,666,627,3,35,584,43,5.0,1.3,46,3,43,41,23,20,2,1,0,0,1,525,516,3,3,3,0,30,55,52,1,1,1,0,7,16144,54682,14593,5,15,204,19,稲
羽村市,57032,55966,9.9,0.0,0.0,90.2,9.8,0.0,8513,3578,108,103,0,5,76,27,0.9,0.8,12,1,186,184,7,3,0,4,0,0,1,154,145,0,5,3,0,14,13,11,0,1,1,0,3,8300,45720,13497,4,4,41,8,羽
あきる野市,80868,67814,73.3,8.6,48.1,29.2,14.1,0.0,26124,4269,603,549,0,54,509,40,1.9,0.9,271,3,683,670,39,23,3,13,0,0,1,358,328,4,19,7,0,18,40,29,2,5,3,0,4,9512,60658,15173,5,21,114,20,あ
西東京市,196511,148056,15.9,0.0,0.0,72.0,28.0,0.0,31416,6457,831,830,0,1,767,64,2.4,1.0,1,4,307,300,29,25,0,3,1,0,2,757,718,0,5,32,1,38,72,58,0,1,13,0,8,39414,127759,31227,8,40,258,27,西
瑞穂町,33497,36088,16.8,0.0,0.0,97.3,2.7,0.0,8480,2652,152,150,0,3,136,13,1.6,0.5,1,1,59,59,9,7,0,1,0,0,0,178,174,0,2,1,0,10,12,11,0,1,1,0,2,3579,33909,10651,3,3,47,7,瑞
日の出町,16650,13965,28.1,21.0,23.1,52.2,3.7,0.0,5321,1194,132,82,0,50,76,6,1.4,0.5,183,0,106,104,10,4,4,2,0,0,0,70,62,5,3,1,0,5,8,5,2,1,0,0,1,1703,15893,4655,1,4,20,6,日
檜原村,2558,2566,105.4,23.6,76.4,0.1,0.0,0.0,1865,307,25,0,0,24,0,0,0.0,0.0,235,0,0,0,2,0,2,0,0,0,0,2,0,2,0,0,0,0,1,0,1,0,0,0,0,84,2688,562,0,1,0,2,檜
奥多摩町,6045,6205,225.6,99.3,0.7,0.0,0.0,0.0,3975,868,11,0,0,11,0,0,0.0,0.0,378,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,32,6036,1480,0,0,0,1,奥
多摩計,4185878,3663705,1159.9,26.3,19.3,23.4,31.0,0.1,790186,209098,31474,30435,45,995,27293,3142,3.5,1.5,2592,139,12472,12060,1371,1036,63,250,21,0,59,24418,22985,79,586,731,36,1372,2906,2413,40,164,285,4,299,768178,3239826,923490,776,769,9195,982,多
都計,13131573,14948404,1776.6,17.2,12.7,44.6,25.5,0.0,2011459,814962,75668,73322,817,1528,65573,7749,3.3,1.0,3184,296,24811,24120,3546,2840,111,496,97,2,177,94799,89859,139,1280,3349,172,4707,9724,7971,69,359,1306,18,1026,2596041,13874939,4714314,5066,1842,29523,3028,都
