ケース,対象範囲,各地点の最大津波高（ｍ）,各地点の最大津波高／地殻変動を考慮しない場合の値（ｍ）,各地点の最大津波高の平均値（ｍ）,各地点の最大津波高の平均値／地殻変動を考慮しない場合の値（ｍ）,各地点の１ｍ津波高の到達時間（分）,各地点の１ｍ津波高の到達時間／当該範囲で最大津波高が来る地点での時間（分）,各地点の最大津波高の到達時間（分）,各地点の最大津波高の到達時間／当該範囲で最大津波高が来る地点での時間（分）
1,（１）三池港,４．３７～９．７９,４．３５～９．７７,7.37,7.35,２１．４～２２．８,22.7,３０．１～６０．７,36.5
1,（２）坪田漁港周辺,４．１８～８．５８,４．１６～８．５６,5.86,5.84,２０．４～２１．７,20.9,２３．０～４４．０,26.2
1,（３）坪田漁港,４．１８～８．５８,４．１６～８．５６,5.62,5.60,２０．４～２１．７,20.9,２３．０～４３．９,26.2
1,（４）阿古漁港,７．３６～１０．８５,７．３４～１０．８３,9.14,9.13,１９．８～２１．８,21.6,２２．１～２３．６,23.0
1,（５）伊ヶ谷漁港,１０．９１～１６．１１,１０．８９～１６．１０,13.90,13.89,２２．３～２３．１,22.9,２４．３～３２．５,24.6
1,（６）大久保漁港周辺,８．０４～１２．５５,８．０３～１２．５４,10.33,10.32,２３．０～２４．２,24.1,２６．２～４９．２,26.7
1,（７）大久保港・大久保漁港,８．０４～１２．５５,８．０３～１２．５４,10.62,10.61,２３．４～２４．３,24.1,２６．１～４９．１,26.7
1,（８）湯の浜漁港周辺,８．３９～１２．１６,８．３８～１２．１５,10.63,10.61,２４．４～２６．１,25.4,２６．４～２７．７,27.0
1,（９）湯の浜漁港,９．５０～１２．１６,９．４８～１２．１５,10.76,10.74,２４．３～２６．１,25.4,２６．４～２７．３,27.0
1,島全体,４．１８～１６．１１,４．１６～１６．１０,8.56,8.54,１９．３～２６．１,22.9,２１．５～１２３．４,24.6
2,（１）三池港,２．１４～５．９９,２．０９～５．９５,4.08,4.04,２４．２～３５．６,25.4,４９．１～１４６．７,87.7
2,（２）坪田漁港周辺,２．２２～５．５９,２．１８～５．５４,3.40,3.35,２２．８～２４．２,23.1,２４．９～１２７．７,41.3
2,（３）坪田漁港,２．２２～５．５９,２．１８～５．５４,3.25,3.21,２３．１～２４．２,23.1,２４．９～１２７．７,41.3
2,（４）阿古漁港,２．３５～４．２９,２．３２～４．２６,3.21,3.18,２２．４～２５．１,23.1,２７．６～１４９．１,51.7
2,（５）伊ヶ谷漁港,３．６１～７．６９,３．５８～７．６６,5.47,5.44,２４．８～２５．８,25.6,５２．５～１０７．１,52.6
