町村名,島名,建物棟数（棟）,建物被害全壊（棟）,建物被害半壊（棟）,人口（人）,人的被害死者（人）,人的被害負傷者（人）,人的被害が最大となる地震動・津波ケース,人的被害が最大となるシーン
大島町,,5988,41,159,8461,37,21,南海トラフ巨大地震津波ケース８,冬・深夜
利島村,,243,26,33,341,5,2,南海トラフ巨大地震津波ケース１、６,冬・昼間
新島村,新島,1684,758,195,2351,1313,38,南海トラフ巨大地震津波ケース８,冬・深夜
新島村,式根島,490,16,13,532,16,1,南海トラフ巨大地震津波ケース１、６,冬・昼間
神津島村,,1540,224,75,1889,288,7,南海トラフ巨大地震津波ケース６,冬・昼間
三宅村,,1911,117,13,2676,143,0,元禄型関東地震,冬・深夜
御蔵島村,,183,0,0,348,0,0,-,-
八丈町,,5154,24,35,8231,23,7,南海トラフ巨大地震津波ケース６,冬・深夜
青ケ島村,,90,0,0,201,1,0,南海トラフ巨大地震津波ケース１、２、６、８,冬・昼間
小笠原村,父島,508,211,53,1880,127,3,南海トラフ巨大地震津波ケース５,冬・深夜
小笠原村,母島,132,37,15,491,34,1,南海トラフ巨大地震津波ケース５,冬・深夜
