区分,死者率（％）,負傷者率（％）,重傷者率（％）
震度７,0.000299,0.0564,0.00797
震度６強,0.000259,0.0490,0.00691
震度６弱,0.000180,0.0340,0.00480
震度５強,0.000101,0.0190,0.00269
震度５弱,0.0000216,0.00408,0.000576
