港名称,南海トラフ巨大地震ケース１（Ｔ．Ｐ．ｍ）,南海トラフ巨大地震ケース２（Ｔ．Ｐ．ｍ）,南海トラフ巨大地震ケース５（Ｔ．Ｐ．ｍ）,南海トラフ巨大地震ケース６（Ｔ．Ｐ．ｍ）,南海トラフ巨大地震ケース８（Ｔ．Ｐ．ｍ）,元禄型関東地震（Ｔ．Ｐ．ｍ）
青ヶ島港,7.88,5.64,5.05,7.39,5.95,3.90
大千代港,8.74,5.77,4.35,8.12,4.63,3.18
