流域名,国有林民有林の別,水源かん養保安林（ｈａ）,土砂流出防備保安林（ｈａ）,土砂崩壊防備保安林（ｈａ）,飛砂防備保安林（ｈａ）,防風保安林（ｈａ）,水害防備保安林（ｈａ）,潮害防備保安林（ｈａ）,干害防備保安林（ｈａ）,防雪保安林（ｈａ）,防霧保安林（ｈａ）,なだれ防止保安林（ｈａ）,落石防止保安林（ｈａ）,防火保安林（ｈａ）,魚つき保安林（ｈａ）,航行目標保安林（ｈａ）,保健保安林（ｈａ）,風致保安林（ｈａ）,合計（ｈａ）
多摩川,国有林,490,296,,,,,,,,,,,,,,154,,940
多摩川,国有林兼種保安林で外数,,,,,,,,,,,,,,,,555,122,677
多摩川,民有林,11867,1233,37,,1,,,7,,,,35,,,,433,71,13684
多摩川,民有林兼種保安林で外数,,60,1,,,,,,,,,,10,,,1528,23,1622
荒川,国有林,,,,,,,,,,,,,,,,,,
荒川,国有林兼種保安林で外数,,,,,,,,,,,,,,,,,,
荒川,民有林,62,74,,,,,,,,,,,,,,,,136
荒川,民有林兼種保安林で外数,,,,,,,,,,,,,,,,,,
島しょ,国有林,,136,13,,,,63,391,,,,,,,,1080,,1683
島しょ,国有林兼種保安林で外数,,,,,,,,,,,,,,,,583,,583
島しょ,民有林,,2138,92,18,84,,13,75,,,,31,3,21,,,,2475
島しょ,民有林兼種保安林で外数,,,,,,,3,,,,,,,,,,,3
計,国有林,490,432,13,,,,63,391,,,,,,,,1234,,2623
計,国有林兼種保安林で外数,,,,,,,,,,,,,,,,1138,122,1260
計,民有林,11929,3445,129,18,85,,13,82,,,,66,3,21,,433,71,16295
計,民有林兼種保安林で外数,,60,1,,,,3,,,,,,10,,,1528,23,1625
