区分,町村,島,計,揺れ,急傾斜地崩壊等,津波,屋外転倒・落下物,火災,屋内収容物（参考値）
死者数,島しょ部計,,1302,0,9,1293,0,0,0
死者数,大島町,,20,0,3,17,0,0,0
死者数,利島村,,5,0,2,3,0,0,0
死者数,新島村,新島,876,0,1,875,0,0,0
死者数,新島村,式根島,16,0,0,16,0,0,0
死者数,神津島村,,287,0,3,284,0,0,0
死者数,三宅村,,56,0,0,56,0,0,0
死者数,御蔵島村,,0,0,0,0,0,0,0
死者数,八丈町,,12,0,0,12,0,0,0
死者数,青ケ島村,,1,0,0,1,0,0,0
死者数,小笠原村,父島,27,0,0,27,0,0,0
死者数,小笠原村,母島,2,0,0,2,0,0,0
負傷者数,島しょ部計,,67,11,9,47,0,0,0
負傷者数,大島町,,19,9,3,7,0,0,0
負傷者数,利島村,,2,0,2,0,0,0,0
負傷者数,新島村,新島,23,0,1,22,0,0,0
負傷者数,新島村,式根島,1,0,0,1,0,0,0
負傷者数,神津島村,,8,2,3,3,0,0,0
負傷者数,三宅村,,1,0,0,1,0,0,0
負傷者数,御蔵島村,,0,0,0,0,0,0,0
負傷者数,八丈町,,2,0,0,2,0,0,0
負傷者数,青ケ島村,,0,0,0,0,0,0,0
負傷者数,小笠原村,父島,8,0,0,8,0,0,0
負傷者数,小笠原村,母島,3,0,0,3,0,0,0
重傷者（負傷者の内数）,島しょ部計,,20,0,6,14,0,0,0
重傷者（負傷者の内数）,大島町,,5,0,3,2,0,0,0
重傷者（負傷者の内数）,利島村,,1,0,1,0,0,0,0
重傷者（負傷者の内数）,新島村,新島,8,0,1,7,0,0,0
重傷者（負傷者の内数）,新島村,式根島,0,0,0,0,0,0,0
重傷者（負傷者の内数）,神津島村,,2,0,1,1,0,0,0
重傷者（負傷者の内数）,三宅村,,0,0,0,0,0,0,0
重傷者（負傷者の内数）,御蔵島村,,0,0,0,0,0,0,0
重傷者（負傷者の内数）,八丈町,,0,0,0,0,0,0,0
重傷者（負傷者の内数）,青ケ島村,,0,0,0,0,0,0,0
重傷者（負傷者の内数）,小笠原村,父島,3,0,0,3,0,0,0
重傷者（負傷者の内数）,小笠原村,母島,1,0,0,1,0,0,0
