河川名,基準地点,所在地,水防団待機水位（指定水位）（ｍ）,はん濫注意水位（警戒水位）（ｍ）,避難判断水位（特別警戒水位）（ｍ）,はん濫危険水位（ｍ）,計画高水位（ｍ）,零点高（ｍ）
江戸川,松戸,千葉県松戸市松戸,4.00,5.70,-,-,8.129,Ｙ．Ｐ．＋０．０００
旧江戸川,松戸,千葉県松戸市松戸,4.00,5.70,-,-,8.129,Ｙ．Ｐ．＋０．０００
中川,高砂,東京都葛飾区青戸,2.40,2.70,-,-,3.410,Ａ．Ｐ．＋０．０００
綾瀬川,谷古宇,埼玉県草加市松江,2.70,3.00,3.60,3.90,4.102,Ａ．Ｐ．＋０．０００
荒川,治水橋,埼玉県さいたま市西区飯田新田,7.00,7.50,10.80,11.10,14.599,Ａ．Ｐ．－０．２２９
荒川,岩淵水門（上）,東京都北区志茂５丁目,3.00,4.10,7.00,7.70,8.57,Ａ．Ｐ．＋０．０００
荒川,南砂町,東京都江東区新砂町３丁目,2.00,3.00,-,-,5.10,Ａ．Ｐ．＋０．０００
隅田川,－,-,-,-,-,-,-,-
多摩川,調布橋,東京都青梅市上長渕,0.20,1.00,1.40,1.90,4.70,Ａ．Ｐ．＋１４８．５００
多摩川,日野橋,東京都日野市大字日野,2.00,2.80,-,3.80,4.71,Ａ．Ｐ．＋６５．２００
多摩川,石原,東京都調布市多摩川３丁目,4.00,4.30,4.40,5.40,5.94,Ａ．Ｐ．＋２７．４２０
多摩川,田園調布（上）,東京都大田区田園調布,4.50,6.00,7.90,8.80,10.35,Ａ．Ｐ．＋０．０００
多摩川,多摩川河口,神奈川県川崎市川崎区殿町,2.30,2.80,-,3.80,３．８０（計画高潮位）,Ａ．Ｐ．＋０．０００
浅川,浅川橋,東京都八王子市大横町,1.90,2.20,2.20,2.60,3.58,Ａ．Ｐ．＋１１２．５００
大栗川,報恩橋,東京都多摩市連光寺,1.30,2.00,2.30,3.20,3.69,Ａ．Ｐ．＋４７．０００
,,水防警報の目安,待機,出動,指示,,,
