都道府県,人数
北海道,1
宮城県,1
秋田県,3
福島県,4
茨城県,5
栃木県,7
群馬県,15
埼玉県,112
千葉県,54
東京都,3295
神奈川県,132
山梨県,6
長野県,4
静岡県,34
愛知県,0
大阪府,0
岡山県,5
山口県,1
愛媛県,1
熊本県,0
沖縄県,4
合計,3684
