区市町村名,箇所数
千代田区,17
港区,118
新宿区,46
文京区,48
台東区,4
品川区,43
目黒区,20
大田区,70
世田谷区,57
渋谷区,12
中野区,14
杉並区,2
豊島区,12
北区,58
荒川区,5
板橋区,54
練馬区,12
区部計,592
八王子市,481
立川市,16
三鷹市,9
青梅市,460
府中市,8
昭島市,9
調布市,17
町田市,194
日野市,72
小金井市,4
東村山市,8
国分寺市,15
国立市,2
西東京市,1
福生市,9
東大和市,8
清瀬市,5
東久留米市,11
武蔵村山市,11
多摩市,43
稲城市,45
あきる野市,200
羽村市,12
瑞穂町,1
日の出町,161
檜原村,143
奥多摩町,209
多摩地域計,2154
大島町,31
新島村,36
神津島村,25
三宅村,-
御蔵島村,2
八丈町,79
小笠原村,53
島しょ地域計,226
東京都合計,2972
