区分,河川名,-,-,-,-,-,-,-,-,-,多摩川,多摩川,多摩川
農業用水名,,玉川農業用水,長谷農業用水,木野下ため池,滝川貯水池,沢立貯水池,笠地貯水池,西原貯水池,新堤貯水池,銚子の口貯水池,大丸用水,日野用水,昭和用水
維持管,団体名,東京都産業労働局,東京都産業労働局,青梅市,大島町,大島町,三宅村,三宅村,八丈町,八丈町,大丸用水土地改良区（稲城市経済課内）,日野用水土地改良区（日野市産業振興課内）,昭島用水土地改良区（昭島市環境課内）
受益面積（ｈａ）,,21,14,3,17,18.4,24.3,17.7,-,13,20.4,20.7,14.8
受益戸数（戸）,,31,8,71,64,31,30,32,-,155,127,108,94
取,取水地点,小笠原村母島船木,小笠原村父島長谷,青梅市木野下,大島町差木地・間伏,大島町北部,三宅村阿古,三宅村西原・伊豆,三原山南部、中ノ郷地区,八丈町中ノ郷地区,稲城市大丸,八王子市平町,昭島市拝島町５－１５０１
,取水方法,貯水池,貯水池,貯水池,貯水池,貯水池,貯水池,貯水池,貯水池,貯水池,堰,堰,堰
,流量（ｔ）,25000,4200,2118,40000,30000,40000,40000,25000,15000,２．３５／秒,１．７３／秒,０．９９／秒
,構造規模,コンクリート,コンクリート,コンクリート,ゴムシート堀込式,ゴムシート堀込式,ゴムシート堀込式,ゴムシート堀込式,ゾーン型フィルダム形式,ゾーン型フィルダム形式,コンクリート,コンクリート,コンクリート
,延長（ｍ）,69,40.5,39,158,128,140,150,44,36,378,379,378
,高さ（ｍ）,12.5,9.3,2,7,5,12,7,17,12,2,1.2,3.47
幹線水路,構造規模,管水路,管水路,コンクリート水路,管水路,管水路,管水路,管水路,管水路,管水路,コンクリート・土水路,コンクリート,コンクリート・玉石練り石
幹線水路,構造規模（ｍ）,,,,,,,,,,幅３．４×高さ１,幅２．１×高さ０．９,幅３．６×高さ０．６
幹線水路,構造規模延長（ｋｍ）,,,,,,,,,,10,7.4,6.6
