区分１,区分２,区分３,区分４,谷沢川・丸子川
暫定計画策定年月日,,,,平成7年5月9日
目標年次,（暫定）（年度）,,,27
目標年次,（長期）,,,２１世紀初頭
現況の市街化率（％）,,,,90.4
現況の市街化率（年）,,,,2
目標年次の市街化率（暫定）（％）,,,,93.3
整備目標,（暫定計画）（ｍｍ／ｈ）,,,５０程度の降雨に対応
整備目標,（長期計画）（ｍｍ／ｈ）,,,７５程度の降雨に対応
整備目標,（基本計画）（ｍｍ／ｈ）,,,１００程度の降雨に対応
流域対策,対策基準,対策基準（ｍ３／ｈａ）,敷地面積０．１ｈａ以上,500
流域対策,対策基準,対策基準（ｍ３／ｈａ）,敷地面積０．１ｈａ未満,300
流域対策,対策基準,指導主体,,東京都及び関係区
流域対策,目標対策量（長期）（ｍ３）,,,大田区２９２００／世田谷区２０２７００
流域対策,目標対策量（長期）計（ｍ３）,,,231900
