河川名,区間１,区間２,基準地点,担当河川事務所
大栗川,左岸　自,新大栗橋下流端（多摩市関戸３丁目１６番地先）,報恩橋,京浜
大栗川,左岸　至,多摩川合流点,報恩橋,京浜
大栗川,右岸　自,新大栗橋下流端（多摩市関戸５丁目１番地先）,報恩橋,京浜
大栗川,右岸　至,多摩川合流点,報恩橋,京浜
