施設名,規模
滑走路,１２００ｍ×３０ｍ
着陸帯,１３２０ｍ×１２０ｍ
誘導路,８０ｍ×１８ｍ
エプロン,３８５０ｍ２小型機用／４５００ｍ２／ＤＨＣ８－３００／３バース
暫定ターミナルビル,鉄骨造平屋建延４９０．８６ｍ２
駐車場,９６０ｍ２／４２台
