事業名１,事業名２,事業名３,局名,事業の概要,２０１６（２８）主な取組,２０１６（２８）事業費（百万円）,２０１７（２９）主な取組,２０１７（２９）事業費（百万円）
鉄道と道路との立体交差化を進め、避難場所へのアクセスを向上させます,,,,,,32369,,32965
36,４－２０,連続立体交差事業の推進,建設局,数多くの踏切を同時に除却することにより、道路ネットワークの形成を促進するとともに、交通渋滞や地域分断を解消し、地域の活性化や防災性の向上を図る。,【事業中】／・西武新宿線（東村山駅付近）において、用地取得及び駅舎の杭基礎工事等を実施／【新規事業】／・ＪＲ埼京線（十条駅付近）については、都市計画等の手続きを進めるなど、事業化に向けた取組を推進,32369,・西武新宿線、京王京王線など４路線５箇所において、連続立体交差事業を推進するとともに、新規事業化に向けた取組を推進,32965
