観測地点,調査年月日,歩行者（人）,自転車（台）,動力付二輪車（台）,自動車大型車類（台）,自動車その他（台）,自動車自動車類計（台）
伊豆６４２（都道２１２号）,平成17年11月14日,37,5,21,111,1294,1405
伊豆６４２（都道２１２号）,平成11年10月28日,47,5,39,188,1489,1677
坪田９６３（都道２１２号）,平成17年11月14日,0,0,9,250,849,1099
坪田９６３（都道２１２号）,平成11年10月28日,49,2,34,199,1361,1560
坪田３０６９（都道２１３号）,平成17年11月14日,40,4,7,32,332,364
坪田３０６９（都道２１３号）,平成11年10月28日,96,1,22,24,458,482
伊ヶ谷３３８（都道２１２号）,平成17年11月14日,8,0,8,26,176,202
伊ヶ谷３３８（都道２１２号）,平成11年10月28日,-,-,-,-,-,-
阿古５１２（都道２１２号）,平成17年11月14日,85,3,28,239,1653,1892
阿古５１２（都道２１２号）,平成11年10月28日,-,-,-,-,-,-
