事業名１,事業名２,事業名３,局名,事業の概要,２０１６（２８）主な取組,２０１６（２８）事業費（百万円）,２０１７（２９）主な取組,２０１７（２９）事業費（百万円）
迅速に避難できるよう道路などの防災機能の向上を図ります,,,,,,89566,,96084
山間部において、擁壁、落石防護柵の設置など道路の斜面対策を図っていきます,,,,,,4780,,5072
22,４－１１,多摩山間部・島しょ部道路の防災性向上,建設局,道路巡回に併せて行う日常点検に加え、定期点検調査、特別点検調査、大雨等の際に行う異常時点検等により、斜面の状況を的確に把握し、緊急性の高い箇所から計画的に対策を実施し、道路の安全性向上を図る。,・緊急性の高い斜面で対策工事実施,4780,・引き続き、緊急性の高い斜面で対策工事実施,5072
23,４－１２,治山施設（落石防護施設）の安全対策,産業労働局,多摩山間地域住民の生命と財産を守るため、重要な治山施設（落石防護施設）の安全対策を推進する。,実績なし,-,・必要に応じて改修・補修工事を実施,-
