種類,種目,数量（棟）,数量（ｍ２）,備考
土地,庁舎敷地,,3597.72,
土地,計,,3597.72,
建物,庁舎,1,405.49,延面積
建物,車庫,1,47.85,延面積
建物,職員公舎,3,230.54,延面積
建物,計,5,683.88,延面積
