年度,地区,区分,旅館ホテル,民宿通年,民宿季節,ユースホステル公営,ユースホステル民営,キャンプ場公営,キャンプ場民営,合計
17,三宅,軒数（軒）,12,24,1,0,0,0,0,37
17,三宅,定員（人）,385,629,5,0,0,0,0,1019
17,御蔵,軒数（軒）,0,10,0,0,0,5,0,15
17,御蔵,定員（人）,0,169,0,0,0,20,0,189
18,三宅,軒数（軒）,,,,,,,,
18,三宅,定員（人）,,,,,,,,
18,御蔵,軒数（軒）,,9,,,,5,,14
18,御蔵,定員（人）,,144,,,,20,,164
19,三宅,軒数（軒）,,,,,,,,93
19,三宅,定員（人）,,,,,,,,
19,御蔵,軒数（軒）,,9,,,,5,,14
19,御蔵,定員（人）,,152,,,,20,,172
