本校・分教場,学科１,学科２,１学年男,１学年女,１学年計,２学年男,２学年女,２学年計,３学年男,３学年女,３学年計,合計男,合計女,合計計
三宅本校舎,普通科,,8,7,15,8,7,15,5,5,10,21,19,40
三宅本校舎,併合科,農業,1,,1,,,0,,,0,1,0,1
三宅本校舎,併合科,家政,,5,5,,2,2,,1,1,0,8,8
三宅本校舎,計,,9,12,21,8,9,17,5,6,11,22,27,49
秋川分教場,普通科,,,,,,,,,2,2,0,2,2
秋川分教場,併合科,農業,,,,,,,,,0,0,0,0
秋川分教場,併合科,家政,,,,,,,1,,1,1,0,1
秋川分教場,計,,,,,,,,1,2,3,1,2,3
合計,,,9,12,21,8,9,17,6,8,14,23,29,52
