種類,分類,種目,数量１,数量２（ｍ２）,価格（円）
土地,行政財産,三宅支庁職員公舎敷地（ヶ所）,4,5709.91,12281000
土地,行政財産,三宅支庁庁舎敷地（ヶ所）,1,10620.68,13330000
土地,普通財産,三宅支庁職員公舎敷地（ヶ所）,2,6527.10,52525000
小計,,,7,22857.69,78136000
建物,行政財産,事務所建（棟）,2,2501.47,430787000
建物,行政財産,住宅建（棟）,6,2363.54,553558000
建物,行政財産,倉庫建（棟）,4,708.13,34688000
小計,,,12,5573.14,1019033000
工作物,行政財産,貯槽（個）,1,,190000
工作物,行政財産,かこい（ｍ）,20,,349000
小計,,,,,539000
立木,行政財産,樹木（本）,5,,-
小計,,,,,1019572000
