路線名,既設延長（ｍ）,既設幅員１（ｍ）,既設幅員２（ｍ）,既設利用区域（ｈａ）,年度別工事費１４（千円）,年度別工事費１５（千円）,年度別工事費１６（千円）,年度別工事費１７（千円）,備考
雄山環状線,20809,3.6,4.0,1042,4966,141774,346144,576161,
神着線,2845,3.6,,,,,,,
神着線,120,4.0,,264,,,,,村営
三の宮線,1900,4.0,,120,,,,,
土佐線,3180,3.6,4.0,202,37067,4073,22001,10913,
坪田線,1347,4.0,,41,,,,,
阿古線,2377,3.6,,317,,,,,
南戸線,3077,3.6,4.0,140,,,,,
伊ヶ谷線,2539,3.6,,86,9255,,,,
上山線,1977,4.0,,56,,,,,村営
清水線,4528,4.0,,116,,,,,村営
調査・設計委託,,,,,49672,67959,48273,67998,
小計,44699,,,2384,100960,213806,416418,655072,
黒崎高尾線,6000,3.0,4.0,576,,1500,1500,1500,
鳥の尾線,1675,3.0,,78,7637,6790,6174,7143,
小計,7675,,,654,7637,8290,7674,8643,
計,52400,,,3038,108597,222096,424092,663715,
