区分,１５数量,１５金額（千円）,１６数量,１６金額（千円）,１７数量,１７金額（千円）,備考
木材（ｍ３）,0,0,0,0,0,0,スギ・ヒノキ
木炭（俵）,0,0,0,0,0,0,１俵１０・１５ｋｇ入
薪（ｍ３）,-,-,-,-,-,-,
椿油（ｋｇ）,0,0,0,0,0,0,
生シイタケ（ｋｇ）,0,0,0,0,0,0,
サカキ・シキミ（千本）,0,0,0,0,0,0,
計,,0,,0,,0,
