年度別,変革,発電設備（ｋＷ）,送電時間（時間）,備考
昭和32年7月,水力発電機新設,50,24,御蔵島農協経営
37.10,東京電力（株）に移管,50,24,東京電力（株）経営
51.9,ディーゼル発電機新設１２０ｋＷ,170,24,
53.6,ディーゼル発電機新設１２０ｋＷ,290,24,
平成2.10,移動用発電機設置９６ｋＷ,386,,
4.3,水力発電所建替,386,24,
9.7,ディーゼル発電機増設１２０ｋＷ,506,24,
14.3,ディーゼル発電機新設２４０ｋＷ,746,24,
,以上の経過で現在に至る,,,
