区分,農業（大分類）,三宅村,御蔵島村
第１次産業,農業,-,10
第１次産業,林業・狩猟業,-,-
第１次産業,漁業・水産養殖業,-,10
第２次産業,鉱業,-,-
第２次産業,建設業,-,59
第２次産業,製造業,-,7
第３次産業,電気ガス水道業,-,5
第３次産業,運輸・通信業,-,6
第３次産業,卸売業・小売業,-,4
第３次産業,金融・保険・不動産業,-,-
第３次産業,サービス業,-,56
第３次産業,公務,-,24
分類不能の産業,,-,-
合計,,-,181
