区分,１５数量,１５金額（千円）,１６数量,１６金額（千円）,１７数量,１７金額（千円）,備考
木材（ｍ３）,-,-,-,-,-,-,スギ
柘材（ｍ３）,30,6000,38,7600,25,5000,
桑材（ｍ３）,3,600,5,1000,50,10000,
生シイタケ（ｋｇ）,1000,1000,1000,1000,1000,1000,
計,,7600,,9600,,16000,
