事業名１,事業名２,事業名３,局名,事業の概要,２０１６（２８）主な取組,２０１６（２８）事業費（百万円）,２０１７（２９）主な取組,２０１７（２９）事業費（百万円）
東京港の耐震強化岸壁の整備を進めるとともに、近隣の港湾関係機関等とも連携し、発災時における東京港の機能維持及び広域的な輸送ルートの確保等に向け、航路啓開及び早期復旧体制の整備を実施します,,,,,,7648,,8291
36,９－２１,東京港の防災対策（耐震強化岸壁の整備）,港湾局,災害発生時における被災者の避難や緊急救援物資輸送、首都圏の経済活動停滞を回避するための国際海上コンテナ輸送を行う耐震強化岸壁の整備を実施する。,・４バースの工事等を実施,7648,・５バースの工事等を実施,8286
37,９－２２,東京港における防災対策の強化（港湾ＢＣＰ）,港湾局,港湾ＢＣＰを策定し、官民協働体制を構築したうえ、災害時における安全確保及び物流機能の早期復旧などに向けた対策を行う。,・１５年度の訓練結果を踏まえ、課題についての対応策を検討／・関係団体との発災時における連絡体制の拡充を図るとともに、連絡訓練を実施,-,・１６年度で検討した内容を反映した図上訓練等を行い、災害発生時の行動手順を再確認する。,5
