事業名１,事業名２,事業名３,局名,事業の概要,２０１６（２８）主な取組,２０１６（２８）事業費（百万円）,２０１７（２９）主な取組,２０１７（２９）事業費（百万円）
延焼を食い止め、避難・救援の道となる道路（特定整備路線）の整備を進めるとともに、整備されるまでの間、事業用地を活用し消防用仮道路の設置などの対策を進めていきます,,,,,,84715,,81400
17,３－１０,沿道一体整備事業－木密地域不燃化１０年プロジェクト－,都市整備局,骨格となる都市計画道路の整備に併せて、民間活力を誘導しつつ地域住民との協同による沿道まちづくりを進め、沿道の効率的な土地利用を促進するとともに、建物共同化などの不燃化による延焼遮断帯の早期形成を図る。,・補助８１、補助１２０、補助８３、補助４６、補助２６号線で事業中／・用地取得による着実な事業推進／・沿道まちづくりの推進／・用地買収が進んだ地区では工事推進,7973,・補助８１、補助１２０、補助８３、補助４６、補助２６号線で事業中／・用地取得による着実な事業推進／・沿道まちづくりの推進／・用地買収が進んだ地区では工事推進,6696
19,３－１１,地域と連携した延焼遮断帯形成事業－木密地域不燃化１０年プロジェクト－,都市整備局,特定整備路線のうち、商店街やまちづくり協議会が存在する区間、用地買収が困難な区間について、都市計画手法を活用して道路整備を行い、延焼遮断帯の形成を図るものである。,・補助２９、補助４６、補助８６号線で事業中／・用地取得による着実な事業推進／・沿道まちづくりの推進,7468,・補助２９、補助４６、補助８６号線で事業中／・用地取得による着実な事業推進／・沿道まちづくりの推進,6340
20,３－１２,木密地域における特定整備路線の整備推進,建設局,「防災都市づくり推進計画」の整備地域（約６９００ｈａ）の防災性を向上する東京都施行の都市計画道路（特定整備路線）を、２０年度までに全線整備する。,・「燃えないまち」「燃え広がらないまち」の実現を目指し、２０年度までの整備に向け、全庁を挙げ、全力で実施／・相談窓口を有効に活用しながら、用地取得を推進／・用地が確保できた箇所から工事を実施,69274,・「燃えないまち」「燃え広がらないまち」の実現を目指し、２０年度までの整備に向け、全庁を挙げ、全力で実施／・相談窓口を有効に活用しながら、用地取得を推進／・用地が確保できた箇所から順次、工事を実施し工事箇所を拡大,68364
21,（３－３）,木造住宅密集地域を重点とした震災対策の推進及び水利整備・確保の推進,東京消防庁,（再掲）,（再掲）,（再掲）,（再掲）,（再掲）
