課別,管理職事務,管理職技術,係長級事務,係長級事務東京都中小企業振興公社派遣職員数,係長級技術,一般事務,一般事務東京都中小企業振興公社派遣職員数,一般技術,技能,合計,合計東京都中小企業振興公社派遣職員数
総務課,2,0,6,1,0,14,1,0,2,24,2
産業課,1,0,1,,5,3,,5,1,16,
土木港湾課,0,1,4,,11,5,,8,6,35,
合計,3,1,11,1,16,22,1,13,9,75,2
