島名,事業項目,事業細目,箇所名,施行地又は受益地,事業主体,着工年度,完了年度,全体計画事業費,全体計画国費,残事業事業費,残事業国費,１７当初事業費,１７当初国費,１７修正後事業費,１７修正後国費,１８事業計画事業費,１８事業計画国費,１８事業計画都費,１８事業計画町村費
三宅島,砂防,火山砂防,川田沢支川,三宅村神着,都,H17,H18,1055000,580250,0,0,0,0,862000,474100,237000,130350,106650,
三宅島,砂防,火山砂防,美茂井沢,三宅村神着,都,H17,H20,624000,343200,394000,216700,0,0,73000,40150,212000,116600,95400,
三宅島,砂防,火山砂防,三ノ輪沢,三宅村神着,都,H17,H20,497000,273350,320000,176000,0,0,75000,41250,147000,80850,66150,
三宅島,砂防,火山砂防,間川,三宅村神着,都,H18,H21,449000,246950,371000,204050,0,0,,,111000,61050,49950,
三宅島,砂防,火山砂防,ハルゲ沢,三宅村神着,都,H18,H21,738000,405900,642000,353100,0,0,,,120000,66000,54000,
三宅島,砂防,火山砂防,鉄砲沢・夕景沢,三宅村阿古,都,H18,H21,277000,152350,209000,114950,0,0,,,377000,207350,169650,
三宅島,砂防,火山砂防,火山砂防計,,,,,3640000,20200,1936000,1064800,0,0,11000,555500,1204000,662200,541800,
三宅島,建設海岸,局部改良,阿古,三宅村阿古,都,H16,H21,332000,166000,264000,132000,36000,18000,46000,23000,40000,20000,20000,
三宅島,港湾海岸,侵食,三池,三宅村坪田,都,H13,H25,21000,1105500,21000,1105500,30000,16500,,,30000,16500,13500,
三宅島,海岸計,,,,,,,2342000,1271500,2274000,1237500,66000,34500,46000,23000,70000,36500,33500,
三宅島,一般都道,特殊改良（一種）,三宅循環線,三宅村伊豆,都,H17,H17,58000,29000,0,0,58000,29000,,,0,,,
三宅島,一般都道,特殊改良（一種）,三宅循環線,三宅村神着,都,H17,H20,463000,231500,207000,103500,140000,70000,,,116000,58000,58000,
三宅島,一般都道,特殊改良（一種）,三宅循環線,三宅村坪田,都,H17,H21,1149000,574500,507000,253500,190000,95000,,,174000,87000,87000,
三宅島,一般都道,特殊改良（一種）,三宅循環線,三宅村伊豆,都,H17,H21,596000,298000,354000,177000,12000,6000,,,13000,6500,6500,
三宅島,一般都道,特殊改良（一種）,特殊改良（一般）計,,,,,2266000,1133000,1068000,534000,400000,200000,0,0,303000,151500,151500,
三宅島,港湾,地方港湾,三池港,三宅村沖ノ平,都,S42,H19,2631000,2102800,2526000,2020800,736000,588800,,,710000,568000,142000,
三宅島,空港,照明工事,三宅島空港,三宅村,都,H17,H18,286250,229000,286250,229000,83750,67000,,,0,,,
三宅島,森林環境保全整備,造林,三宅島地区,三宅村,森林組合,H18,,,,,,0,0,,,8408,2522,5886,
三宅島,森林環境保全整備,指導監督費,三宅島地区,三宅村,,H18,,,,,,0,0,,,378,113,265,
三宅島,森林環境保全整備,森林環境保全整備計,,,,,,,,,,,,,,8786,2635,6151,
三宅島,水産基盤,地域漁港,三宅島,三宅村,都,H14,H23,1119000,559500,1062000,531000,0,0,,,90000,45000,45000,
三宅島,水産基盤,地域漁港,伊ヶ谷漁港,三宅村,都,S33,H23,4439144,2881086,1580500,1128300,517000,338000,,,800000,515000,285000,
三宅島,水産基盤,地域漁港,大久保漁港,三宅村,都,H17,H23,185000,148000,135000,108000,50000,40000,0,,,,,
三宅島,水産基盤,地域漁港,地域漁港計,,,,,5743144,3588586,2777500,1767300,567000,378000,0,0,890000,560000,330000,
三宅島,水産基盤,広域漁港,阿古漁港,三宅村,都,S26,H23,80200,6710265,7326500,6136090,250000,212500,,,350000,297500,52500,
三宅島,水産基盤,水産基盤計,,,,,,13745144,10298851,10104000,7903390,817000,590500,0,0,1240000,857500,382500,
三宅島,廃棄物処理,浄化槽整備事業,三宅村,三宅村,村,S62,H18,18000,9000,9000,4500,9000,4500,,,12375,6750,3375,2250
三宅島,三宅島合計,,,,,,,24928394,17046151,18203250,12993990,2111750,1485300,1056000,578500,3548161,2285085,1260826,2250
御蔵島,砂防,火山砂防,西川,御蔵島村西川,都,H11,H18,600000,330000,179000,98450,82000,45100,102000,56100,70000,38500,31500,
御蔵島,一般都道,災害防除,御蔵島環状線,御蔵島村里南郷,都,H16,H18,136000,68000,20000,10000,20000,10000,,,20000,10000,10000,
御蔵島,港湾,地方港湾,御蔵島港,御蔵島村里浜,都,S44,H19,4774000,3429800,2514000,1953800,877000,696200,,,857000,656600,200400,
御蔵島,廃棄物処理,浄化槽整備事業,御蔵島村,御蔵島村,村,H19,H18,1800,900,900,450,900,450,,,900,450,225,225
御蔵島,御蔵島計,,,,,,,5511800,3828700,2713900,2062700,979900,751750,102000,56100,947900,705550,242125,225
