年度別,予算収入,予算支出,決算収入,決算支出
13,3154000,3154000,3157133,3157133
14,3341000,3341000,3339646,3339646
15,2439000,2439000,2440450,2440450
16,2332000,2332000,2307888,2307888
17,2528000,2528000,2503121,2503121
