種別,三宅島漁獲量（ｋｇ）,三宅島生産額（千円）,御蔵島漁獲量（ｋｇ）,御蔵島生産額（千円）,合計漁獲量（ｋｇ）,合計生産額（千円）
さば,209,43,0,0,209,43
とびうお,1824,511,0,0,1824,511
むろあじ,162,46,81,32,243,78
まあじ,0,0,0,0,0,0
しまあじ,290,875,451,1300,741,2175
たかべ,2875,3561,1735,1368,4610,4929
いさき,50,40,14,5,64,45
かつお類,27083,14107,2353,1529,29436,15636
まぐろ類,35896,17963,1793,936,37689,18899
かじき類,46,43,0,0,46,43
きんめだい,9615,7475,0,0,9615,7475
ひめだい,821,667,30,20,851,687
はまだい,74,149,0,0,74,149
あおだい,2873,2522,35,39,2908,2561
めだい,4813,1885,0,0,4813,1885
あこうだい,69,65,0,0,69,65
まだい,12,9,0,0,12,9
ひらまさ,150,175,61,59,211,234
かんぱち,2516,2401,542,548,3058,2949
さわら,2003,599,92,43,2095,642
むつ,147,200,0,0,147,200
さめ類,0,0,0,0,0,0
ぶり類,45,16,0,0,45,16
ひらめ,0,0,25,39,25,39
ぼら類,0,0,0,0,0,0
その他の魚類,5315,5417,178,161,5493,5578
計,96888,58769,7390,6079,104278,64848
かめ,0,0,0,0,0,0
いか,181,313,0,0,181,313
いせえび,4916,20493,170,535,5086,21028
とこぶし,729,1911,0,0,729,1911
その他,2311,3581,4,4,2315,3585
計,8137,26298,174,539,8311,26837
てんぐさ,4177,15517,6,17,4183,15534
とさかのり,37971,17839,0,0,37971,17839
その他,0,0,7,141,7,141
計,42148,33356,13,158,42161,33514
,147173,118423,7577,6776,154750,125199
