事業区分,１５施工箇所,１５数量,１５工事費（千円）,１５工事費繰越（千円）,１５工事費予算で支払い（千円）,事業区分,１６施工箇所,１６数量,１６工事費（千円）,１６工事費繰越（千円）,１６工事費予算で支払い済（千円）,事業区分,１７施工箇所,１７数量,１７工事費（千円）,１７工事費繰越（千円）,１７工事費予算で支払い済（千円）
災害復旧,三宅村（空粟沢）,谷止工２基,68383,,,災害復旧,三宅村（榎木沢）,谷止工１基／床固工１基／流路工一式,209647,154647,-55000,災害復旧,三宅村（榎木沢）,谷止工１基／床固定１基／流路工一式,154647,,
災害復旧,三宅村（伊ヶ谷沢）,谷止工３基,122422,,,災害復旧,三宅村（夕景沢）,谷止工２基／床固工１基／流路工一式,383619,383619,,災害復旧,三宅村（夕景沢）,谷止工２基／床固定１基／流路工一式,383619,,
災害復旧,三宅村（角屋敷沢）,谷止工１基,242968,,,災害復旧,三宅村（平山沢）,谷止工７基,346944,246944,-100000,災害復旧,三宅村（平山沢）,谷止工７基,246944,,
災害復旧,三宅村（道の沢）,谷止工８基／床固工２基／流路工一式,384106,,,災害復旧,三宅村（伊豆川）,谷止工１基,43515,,,災害復旧,三宅村（大沢）,谷止工５基,244830,,
災害復旧,三宅村（立根沢）,谷止工７基,245018,147018,-98000,災害復旧,三宅村（大沢）,谷止工５基,332325,199425,-132900,災害復旧,三宅村（榎木沢）,谷止工１基／床固定３基／流路工二式,223162,,
災害復旧,三宅村（築穴沢）,谷止工１２基／床固工７基／流路工一式,467250,467250,,災害復旧,三宅村（田ヶ沢）,谷止工２基,75455,,,災害復旧,三宅村（坊田沢）,谷止工７基,284297,,
災害復旧,三宅村（空粟沢）,谷止工１基,96285,96285,,災害復旧,三宅村（金曽沢）,土留工３基,123090,,,災害復旧,三宅村（とんび沢）,土留工２基,82346,47946,-34400
災害復旧,三宅村（角屋敷沢）,谷止工２基,129150,129150,,委託（災害）,三宅村（坪田）,脱硫宿舎設備保守点検,6868,,,災害復旧,三宅村（金曽沢）,谷止工３基／土留工３基,399610,274510,-125100
災害復旧,三宅村（芦穴沢）,谷止工２基／床固工５基／流路工２基,292425,292425,,委託（災害）,三宅村（全域）,森林復旧対策調査,25000,,,災害復旧,三宅村（角屋敷沢）,谷止工１基／床固定２基／流路工一式,86212,,-32000
災害復旧,三宅村（榎木沢）,谷止工２基／床固工２基／流路工一式,296625,296625,,委託（災害）,三宅村（全域）,測量・設計,23730,,,災害復旧,三宅村（倉沢）,谷止工２基,62533,39433,-23100
災害復旧,三宅村（道の沢）,谷止工２基,68250,68250,,委託（災害）,三宅村（全域）,現場技術業務,10920,,,委託（災害）,三宅村（全域）,現場技術業務,20790,,
委託（災害）都単治山,御蔵島,緑化工,28875,,,委託（災害）,三宅村（全域）,森林災害復旧調査,42300,,,委託（災害）,三宅村（坪田）,測量・設計,4935,,
委託（災害）都単治山,三宅村（坪田・阿古）,測量・設計,38850,,,委託（災害）,三宅村（全域）,全体計画作成,25100,21967,-3133,委託（災害）,三宅村（坪田）,測量・設計,6496,,
委託（災害）都単治山,三宅村（坪田・阿古）,測量・設計,3150,,,委託（災害）,三宅村（全域）,荒廃地緑化試験,37500,37500,,委託（災害）,三宅村（伊豆）,測量・設計,4912,,
委託（災害）都単治山,三宅村（全域）,森林総合調査,22800,,,都単治山,三宅村（椎取沢）,吹付工一式,4515,,,委託（災害）,三宅村（全域）,森林復旧対策調査,23662,,
委託（災害）都単治山,三宅村（全域）,種子採取,6890,,,都単治山,三宅村（伊ヶ谷）,防風柵工一式,9534,,,委託（災害）,三宅村（全域）,荒廃地緑化試験,14196,,
委託（災害）都単治山,御蔵島,写真撮影,2499,,,都単治山,御蔵島（川田沢）,根継工一式,10651,,,委託（災害）,三宅村（全域）,森林災害復旧調査,18692,,
都単治山,,,,,,,,,,,,委託（災害）,三宅村（神着・坪田）,測量・設計,13657,,
都単治山,,,,,,,,,,,,都単治山,三宅村（空粟沢）,伏工一式,1470,,
都単治山,,,,,,,,,,,,都単治山,三宅村（伊ヶ谷）,防風柵工一式,1365,,
都単治山,,,,,,,,,,,,都単治山,御蔵島（川田沢）,水叩き工垂直壁工一式,15315,,
