種別,学校名,校長,校長兼務,副校長,副校長兼務,教諭,教諭兼務,養護教諭,養護教諭兼務,事務栄養士,事務栄養士兼務,計,その他指導主事,その他産代育代,その他嘱託員
小学校,三宅,1,,1,,3,7,1,,1,,7,,,
小学校,阿古,,1,,1,4,6,,1,,1,4,,,
小学校,坪田,,1,1,,3,7,,1,,1,4,,,
小学校,３校合同,1,,2,,10,,1,,1,,15,,,
小学校,御蔵島,,1,1,,6,,1,,2,,10,,1,
小学校,計,1,,3,,16,,2,,3,,25,,1,
中学校,三宅,1,,1,,3,7,1,,1,,7,1,,
中学校,阿古,,1,,1,4,6,,1,,1,4,,,
中学校,坪田,,1,1,,3,7,,1,,1,4,,,
中学校,３校合同,1,,2,,10,,1,,1,,15,1,,
中学校,御蔵島,1,,1,,10,,,1,,,12,,,
中学校,計,2,,3,,20,,1,,1,,27,1,,
合計,,3,,6,,36,,3,,4,,52,1,1,0
